,HHID,PN,var1,zero_counts,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12
0,000003,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,000003,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,010001,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
3,010003,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,010004,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,010004,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,010013,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,010013,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,010038,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,010038,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,010050,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,010059,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,010059,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,010075,020,8.0,0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0
14,010083,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,010083,020,8.0,0,12.0,12.0,12.0,9.0,8.0,8.0,12.0,9.0,8.0,11.0,8.0
16,010097,040,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
17,010109,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,010147,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,010196,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,010206,010,8.0,0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0
21,010210,010,12.0,1,12.0,12.0,12.0,11.0,9.0,12.0,12.0,12.0,9.0,0.0,8.0
22,010210,020,12.0,2,12.0,12.0,12.0,12.0,9.0,12.0,12.0,12.0,0.0,0.0,12.0
23,010225,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,010299,010,8.0,0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0
25,010299,011,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,010299,012,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,010372,010,8.0,0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,12.0,9.0,8.0,8.0
28,010394,010,8.0,0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0
29,010394,040,8.0,0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0
30,010395,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
31,010395,020,8.0,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0
32,010397,010,9.0,0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
33,010397,040,9.0,0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0
34,010404,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,010433,010,9.0,0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,8.0
36,010451,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,010451,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,010453,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,010453,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,010475,010,9.0,0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,8.0,11.0,8.0
41,010475,011,8.0,0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0
42,010477,010,9.0,0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0
43,010477,020,9.0,0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
44,010481,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,010481,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,010482,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,010533,010,10.0,0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0
48,010533,011,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,010537,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,010537,011,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,010565,020,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,8.0
52,010568,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,010571,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,010577,010,8.0,0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0
55,010577,011,9.0,0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0
56,010592,010,9.0,0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0
57,010645,031,11.0,0,9.0,11.0,10.0,9.0,8.0,12.0,10.0,11.0,9.0,10.0,8.0
58,010648,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,010648,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,010652,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,010672,031,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,010696,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,010707,010,8.0,0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
64,010707,020,8.0,0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0
65,010708,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,010719,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,010756,010,9.0,0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0
68,010756,011,8.0,0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0
69,010769,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,010769,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,010773,020,9.0,0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0
72,010773,030,9.0,0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0
73,010775,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,010775,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,010781,010,8.0,0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
76,010781,040,8.0,0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
77,010818,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,010818,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,010822,010,8.0,0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,12.0,9.0,8.0,8.0
80,010822,040,9.0,0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0
81,010893,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,010896,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,010902,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,010917,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,010941,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,010962,010,9.0,0,10.0,9.0,8.0,11.0,8.0,8.0,11.0,8.0,10.0,8.0,8.0
87,010989,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,010989,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,010994,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,011010,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,011067,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,011067,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,011071,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,011071,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,011074,020,9.0,0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0
96,011141,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,011141,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,011179,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,011179,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,011186,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,011212,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,011212,011,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,011230,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,011248,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,011253,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
106,011256,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,011256,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,011277,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,011332,010,8.0,0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,8.0
110,011332,020,8.0,0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
111,011333,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,011333,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,011341,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,011345,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,011345,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,011347,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,011347,030,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,011368,010,9.0,0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0
119,011368,020,11.0,0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,9.0,9.0,11.0,8.0
120,011377,010,9.0,0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0
121,011377,040,8.0,0,8.0,9.0,10.0,11.0,8.0,8.0,12.0,8.0,8.0,8.0,8.0
122,011378,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,011378,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,011379,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,011387,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,011423,010,12.0,0,9.0,12.0,12.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,9.0
127,011466,040,8.0,0,12.0,12.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,11.0,12.0
128,011467,010,8.0,0,9.0,12.0,9.0,12.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0
129,011477,010,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
130,011479,040,9.0,0,9.0,11.0,11.0,12.0,8.0,9.0,12.0,8.0,8.0,10.0,8.0
131,011506,010,8.0,0,9.0,8.0,8.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
132,011563,010,8.0,0,9.0,10.0,9.0,9.0,8.0,8.0,11.0,11.0,9.0,10.0,8.0
133,011575,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,011582,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,011590,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,011608,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,011608,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,011611,010,8.0,0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0
139,011620,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,011620,040,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,011626,010,9.0,2,11.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,8.0,0.0,0.0
142,011626,011,8.0,2,0.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,0.0
143,011656,010,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,011667,020,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,011667,030,10.0,0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,12.0,9.0
