,HHID,PN,var1,zero_counts,var2,var3,var4,var5,var6,var7
0,000003,010,6.0,0,5.0,6.0,6.0,6.0,6.0,6.0
1,000003,020,4.0,0,5.0,5.0,2.0,3.0,1.0,6.0
2,010001,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
3,010003,030,6.0,0,1.0,6.0,1.0,1.0,1.0,6.0
4,010004,010,4.0,0,4.0,4.0,2.0,3.0,5.0,4.0
5,010004,040,4.0,0,5.0,4.0,5.0,6.0,6.0,5.0
6,010013,010,4.0,0,4.0,3.0,4.0,4.0,4.0,4.0
7,010013,040,5.0,0,2.0,6.0,3.0,5.0,6.0,4.0
8,010038,010,6.0,0,6.0,6.0,6.0,6.0,6.0,1.0
9,010038,040,0.0,1,5.0,4.0,3.0,6.0,6.0,4.0
10,010050,010,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0
11,010059,020,5.0,0,5.0,2.0,4.0,6.0,4.0,5.0
12,010059,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
13,010063,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
14,010075,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
15,010075,030,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
16,010083,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
17,010083,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
18,010097,040,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
19,010109,030,5.0,0,5.0,5.0,5.0,5.0,5.0,5.0
20,010147,010,6.0,0,6.0,6.0,6.0,2.0,6.0,6.0
21,010196,010,5.0,0,5.0,4.0,3.0,3.0,3.0,5.0
22,010206,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
23,010210,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
24,010210,020,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
25,010225,010,4.0,0,5.0,4.0,5.0,6.0,6.0,3.0
26,010281,010,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
