,HHID,PN,value
0,000003,010,
1,000003,020,
2,010001,010,
3,010003,030,
4,010004,010,
5,010004,040,
6,010013,040,
7,010013,010,
8,010038,010,
9,010038,040,
10,010050,010,
11,010059,020,
12,010059,030,
13,010063,010,
14,010075,020,
15,010075,030,
16,010083,010,
17,010083,020,
18,010097,040,
19,010109,030,
20,010147,010,
21,010196,010,
22,010206,010,
23,010210,010,
24,010210,020,
25,010225,010,
26,010281,010,
27,010281,020,
28,010299,010,
29,010299,012,1.0
30,010372,010,
31,010394,010,
32,010394,040,
33,010395,010,
34,010395,020,
35,010397,010,
36,010397,040,
37,010404,010,
38,010433,010,
39,010451,010,
40,010451,020,
41,010453,010,
42,010453,020,
43,010458,020,
44,010458,030,
45,010465,010,
46,010475,010,
47,010475,011,
48,010477,010,
49,010477,020,
50,010481,010,
51,010481,020,
52,010482,010,
53,010533,010,
54,010533,011,
55,010537,010,
56,010546,010,
57,010565,020,
58,010568,010,
59,010571,010,
60,010577,010,
61,010577,011,
62,010592,010,
63,010600,010,
64,010611,010,
65,010645,030,
66,010645,031,
67,010648,010,
68,010648,020,
69,010652,010,
70,010672,030,
71,010672,031,
72,010707,010,
73,010707,020,
74,010719,020,
75,010719,030,
76,010740,010,
77,010756,010,
78,010756,011,
79,010769,010,
80,010769,040,
81,010773,020,
82,010773,030,
83,010775,020,
84,010775,030,
85,010776,010,
86,010818,010,
87,010818,040,
88,010822,010,
89,010822,040,
90,010893,010,
91,010896,010,
92,010902,010,
93,010917,010,
94,010941,010,
95,010962,010,
96,010989,010,
97,010989,020,
98,010994,010,
99,011010,010,
100,011067,020,
101,011067,030,
102,011071,010,
103,011071,020,
104,011074,020,
105,011141,010,
106,011141,020,
107,011179,010,
108,011179,020,
109,011186,010,
110,011212,010,
111,011219,010,
112,011230,010,
113,011248,010,
114,011253,010,
115,011256,010,
116,011256,040,
117,011277,010,
118,011323,010,
119,011332,010,
120,011332,020,
121,011333,020,
122,011333,030,
123,011341,010,
124,011345,010,
125,011345,020,
126,011347,020,
127,011347,030,
128,011368,010,
129,011368,020,
130,011377,010,
131,011377,040,
132,011378,010,
133,011378,020,
134,011379,020,
135,011387,020,
136,011423,010,
137,011466,040,
138,011467,010,
139,011477,010,
140,011477,011,
141,011479,010,
142,011479,040,
143,011506,010,
144,011563,010,
145,011575,010,
146,011575,020,
147,011582,020,
148,011590,020,
149,011608,010,
150,011608,040,
151,011611,010,
152,011612,010,
153,011620,010,
154,011620,040,
155,011626,010,
156,011626,011,
157,011656,010,
158,011667,020,
159,011667,030,
160,011671,010,
161,011671,040,
162,011678,010,
163,011678,040,
164,011678,041,
165,011690,010,
166,011694,010,
167,011694,020,
168,011716,010,
169,011765,010,
170,011787,010,
171,011793,010,
172,011798,010,
173,011802,010,
174,011825,010,
175,011825,040,
176,011841,010,
177,011854,010,
178,011854,020,
179,011856,010,
180,011859,010,
181,011862,030,
182,011862,020,
183,011876,010,
184,011881,010,
185,011881,011,
186,011902,030,
187,011902,031,
188,011907,010,
189,011907,020,
190,011911,010,
191,011911,040,
192,011932,020,
193,011932,030,
194,011933,010,
195,011936,010,
196,011936,011,
197,011937,010,
198,011948,020,
199,011983,040,
200,011993,010,
201,011993,020,
202,011999,010,
203,011999,020,
204,012005,010,
205,012005,040,
206,012009,010,
207,012009,040,
208,012010,010,
209,012010,020,
210,012033,010,
211,012033,011,
212,012045,010,
213,012045,011,6.0
214,012094,010,
215,012104,010,
216,012104,020,
217,012106,010,
218,012108,010,
219,012112,030,
220,012118,030,
221,012124,020,
222,012124,030,
223,012135,020,
224,012135,030,
225,012145,010,
226,012145,020,
227,012161,010,
228,012161,020,
229,012162,010,
230,012166,010,
231,012166,040,
232,012172,010,
233,012172,020,
234,012174,040,
235,012178,010,
236,012179,010,
237,012183,010,
238,012195,010,
239,012196,010,
240,012196,020,
241,012218,010,
242,012218,020,
243,012223,020,
244,012232,010,
245,012232,040,
246,012235,010,
247,012235,040,
248,012242,010,
249,012242,020,
250,012243,020,
251,012243,030,
252,012252,020,
253,012273,010,
254,012273,040,
255,012274,010,
256,012274,020,
257,012276,020,
258,012276,030,
259,012280,020,
260,012280,030,
261,012285,010,
262,012292,010,
263,012292,020,
264,012302,010,
265,012310,010,
266,012310,011,
267,012315,010,
268,012315,040,
269,012318,010,
270,012319,010,
271,012344,010,
272,012344,020,
273,012393,020,
274,012393,030,
275,012394,010,
276,012401,040,
277,012417,010,
278,012418,020,
279,012418,030,
280,012443,010,
281,012443,040,
282,012445,010,
283,012455,010,
284,012458,020,
285,012474,040,
286,012479,010,
287,012481,010,
288,012481,011,
289,012484,010,
290,012484,020,
291,012494,010,
292,012494,040,
293,012507,010,
294,012510,010,
295,012510,020,
296,012512,010,
297,012512,020,
298,012513,010,
299,012513,020,
300,012514,010,
301,012514,040,
302,012516,010,
303,012516,040,
304,012520,040,
305,012529,020,
306,012543,010,
307,012549,010,
308,012549,011,
309,012549,040,
310,012562,010,
311,012562,011,
312,012571,020,
313,012573,010,
314,012573,011,
315,012574,020,
316,012586,010,
317,012586,020,
318,012588,010,
319,012588,020,
320,012596,010,
321,012596,040,
322,012605,010,
323,012605,040,
324,012605,041,
325,012611,010,
326,012611,020,
327,012629,040,
328,012629,010,
329,012629,011,
330,012648,040,
331,012653,010,
332,012653,040,
333,012666,010,
334,012667,010,
335,012671,010,
336,012682,010,
337,012695,020,
338,012695,030,
339,012709,020,
340,012715,020,
341,012715,030,
342,012738,010,
343,012738,020,
344,012744,010,
345,012744,011,6.0
346,012745,010,
347,012745,020,
348,012756,010,
349,012756,011,
350,012761,040,
351,012762,010,
352,012762,020,
353,012765,010,
354,012786,010,
355,012792,010,
356,012799,020,
357,012799,030,
358,012821,010,
359,012852,030,
360,012854,010,
361,012864,020,
362,012887,010,
363,012909,020,
364,012920,010,
365,012948,010,
366,012964,010,
367,012964,040,
368,012967,010,
369,012979,010,
370,012979,020,
371,012981,030,
372,012987,010,
373,012987,020,
374,013054,040,
375,013062,010,
376,013063,010,
377,013137,020,
378,013137,021,
379,013140,010,
380,013140,040,
381,013142,010,
382,013142,020,
383,013158,010,
384,013176,020,
385,013189,020,
386,013189,030,
387,013194,010,
388,013208,010,
389,013208,040,
390,013211,010,
391,013211,020,
392,013212,010,
393,013216,010,
394,013231,010,
395,013231,020,
396,013238,010,
397,013242,010,
398,013257,010,
399,013286,010,
400,013286,020,
401,013296,010,
402,013305,030,
403,013317,010,
404,013317,040,
405,013318,010,
406,013318,020,
407,013344,010,
408,013344,040,
409,013371,010,
410,013371,012,2.0
411,013376,010,
412,013376,020,
413,013387,040,
414,013390,020,
415,013390,021,
416,013392,020,
417,013399,010,
418,013418,010,
419,013433,030,
420,013465,010,
421,013465,040,
422,013518,040,
423,013527,020,
424,013527,010,
425,013547,010,
426,013547,020,
427,013552,020,
428,013552,030,
429,013560,010,
430,013561,010,
431,013561,020,
432,013573,010,
433,013573,020,
434,013583,020,
435,013583,030,
436,013590,030,
437,013590,040,
438,013595,011,
439,013598,010,
440,013598,020,
441,013600,010,
442,013600,020,
443,013601,040,
444,013602,020,
445,013602,030,
446,013612,010,
447,013631,010,
448,013635,010,
449,013635,020,
450,013637,010,
451,013637,040,
452,013656,040,
453,013671,010,
454,013671,020,
455,013699,010,
456,013699,040,
457,013734,010,
458,013734,020,
459,013738,010,
460,013738,020,
461,013753,010,
462,013753,020,
463,013757,030,
464,013772,020,
465,013772,030,
466,013784,010,
467,013784,040,
468,013802,020,
469,013813,010,
470,013814,010,
471,013814,040,
472,013815,010,
473,013816,010,
474,013816,040,
475,013817,010,
476,013817,011,
477,013817,040,
478,013817,041,
479,013820,010,
480,013820,020,
481,013857,010,
482,013857,020,
483,013858,020,
484,013858,030,
485,013894,010,
486,013897,010,
487,013899,040,
488,013899,041,
489,013899,010,
490,013902,010,
491,013902,020,
492,013912,010,
493,013912,020,
494,013915,010,
495,013915,011,
496,013916,010,
497,013916,040,
498,013965,010,
499,013965,020,
500,013974,010,
501,014008,010,
502,014024,020,
503,014024,030,
504,014028,010,
505,014028,020,
506,014033,010,
507,014036,010,
508,014036,040,
509,014043,010,
510,014043,020,
511,014063,010,
512,014063,020,
513,014069,010,
514,014069,020,
515,014072,010,
516,014072,040,
517,014080,020,
518,014080,030,
519,014081,010,
520,014081,040,
521,014085,010,
522,014092,010,
523,014092,040,
524,014098,010,
525,014104,010,
526,014104,020,
527,014115,020,
528,014136,010,
529,014136,040,
530,014137,010,
531,014137,020,
532,014147,010,
533,014147,040,
534,014149,020,
535,014149,030,
536,014157,010,
537,014157,040,
538,014159,030,
539,014167,010,
540,014167,040,
541,014179,010,
542,014179,040,
543,014188,020,
544,014188,030,
545,014199,020,
546,014202,010,
547,014212,010,
548,014212,020,
549,014214,010,
550,014215,030,
551,014223,010,
552,014224,010,
553,014224,020,
554,014234,010,
555,014234,041,
556,014234,011,
557,014244,020,
558,014244,030,
559,014247,010,
560,014247,040,
561,014251,010,
562,014252,010,
563,014259,020,
564,014259,030,
565,014270,010,
566,014270,040,
567,014272,010,
568,014272,011,
569,014275,010,
570,014307,010,
571,014332,010,
572,014332,011,
573,014341,010,
574,014349,010,
575,014349,040,
576,014359,010,
577,014359,020,
578,014397,010,
579,014397,020,
580,014411,010,
581,014420,010,
582,014420,020,
583,014427,010,
584,014428,010,
585,014430,010,
586,014430,020,
587,014433,010,
588,014433,020,
589,014434,020,
590,014434,030,
591,014436,020,
592,014436,021,1.0
593,014449,010,
594,014449,040,
595,014455,011,
596,014456,010,
597,014456,020,
598,014458,030,
599,014458,031,
600,014535,010,
601,014535,011,
602,014553,010,
603,014568,010,
604,014568,020,
605,014587,010,
606,014587,011,
607,014605,010,
608,014605,040,
609,014617,010,
610,014617,020,
611,014619,020,
612,014619,021,
613,014624,010,
614,014624,040,
615,014640,010,
616,014655,030,
