,HHID,PN,value
0,3,10,-1
1,3,20,-1
2,10001,10,-1
3,10003,30,1
4,10004,10,1
5,10004,40,-1
6,10013,40,1
7,10013,10,1
8,10038,10,-1
9,10038,40,1
10,10050,10,1
11,10059,20,-1
12,10059,30,1
13,10063,10,1
14,10075,20,1
15,10075,30,1
16,10083,10,1
17,10083,20,1
18,10097,40,-1
19,10109,30,1
20,10147,10,1
21,10196,10,1
22,10206,10,-1
23,10210,10,1
24,10210,20,1
25,10225,10,1
26,10281,10,1
27,10281,20,1
28,10299,10,1
29,10299,12,1
30,10372,10,1
31,10394,10,1
32,10394,40,1
33,10395,10,-1
34,10395,20,-1
35,10397,10,-1
36,10397,40,1
37,10404,10,1
38,10433,10,1
39,10451,10,1
40,10451,20,1
41,10453,10,-1
42,10453,20,1
43,10458,20,1
44,10458,30,1
45,10465,10,1
46,10475,10,1
47,10475,11,1
48,10477,10,1
49,10477,20,-1
50,10481,10,-1
51,10481,20,-1
52,10482,10,1
53,10533,10,1
54,10533,11,-1
55,10537,10,1
56,10546,10,1
57,10565,20,1
58,10568,10,1
59,10571,10,1
60,10577,10,1
61,10577,11,-1
62,10592,10,1
63,10600,10,1
64,10611,10,-1
65,10645,30,1
66,10645,31,1
67,10648,10,1
68,10648,20,1
69,10652,10,1
70,10672,30,1
71,10672,31,1
72,10707,10,1
73,10707,20,1
74,10719,20,1
75,10719,30,1
76,10740,10,1
77,10756,10,1
78,10756,11,1
79,10769,10,-1
80,10769,40,1
81,10773,20,-1
82,10773,30,-1
83,10775,20,1
84,10775,30,-1
85,10776,10,1
86,10818,10,-1
87,10818,40,1
88,10822,10,-1
89,10822,40,1
90,10893,10,-1
91,10896,10,-1
92,10902,10,1
93,10917,10,1
94,10941,10,1
95,10962,10,-1
96,10989,10,1
97,10989,20,1
98,10994,10,1
99,11010,10,1
100,11067,20,1
101,11067,30,-1
102,11071,10,1
103,11071,20,1
104,11074,20,1
105,11141,10,1
106,11141,20,1
107,11179,10,-1
108,11179,20,-1
109,11186,10,1
110,11212,10,1
111,11219,10,1
112,11230,10,1
113,11248,10,1
114,11253,10,1
115,11256,10,1
116,11256,40,1
117,11277,10,1
118,11323,10,-1
119,11332,10,-1
120,11332,20,1
121,11333,20,1
122,11333,30,1
123,11341,10,-1
124,11345,10,1
125,11345,20,1
126,11347,20,1
127,11347,30,-1
128,11368,10,1
129,11368,20,-1
130,11377,10,1
131,11377,40,1
132,11378,10,-1
133,11378,20,-1
134,11379,20,1
135,11387,20,1
136,11423,10,1
137,11466,40,1
138,11467,10,-1
139,11477,10,-1
140,11477,11,1
141,11479,10,1
142,11479,40,1
143,11506,10,1
144,11563,10,1
145,11575,10,1
146,11575,20,-1
147,11582,20,-1
148,11590,20,1
149,11608,10,-1
150,11608,40,1
151,11611,10,-1
152,11612,10,-1
153,11620,10,-1
154,11620,40,-1
155,11626,10,1
156,11626,11,1
157,11656,10,1
158,11667,20,-1
159,11667,30,1
160,11671,10,1
161,11671,40,1
162,11678,10,1
163,11678,40,1
164,11678,41,1
165,11690,10,-1
166,11694,10,1
167,11694,20,1
168,11716,10,1
169,11765,10,1
170,11787,10,1
171,11793,10,1
172,11798,10,-1
173,11802,10,1
174,11825,10,1
175,11825,40,1
176,11841,10,-1
177,11854,10,1
178,11854,20,1
179,11856,10,1
180,11859,10,1
181,11862,30,1
182,11862,20,1
183,11876,10,1
184,11881,10,-1
185,11881,11,1
186,11902,30,1
187,11902,31,1
188,11907,10,1
189,11907,20,1
190,11911,10,1
191,11911,40,1
192,11932,20,1
193,11932,30,1
194,11933,10,1
195,11936,10,-1
196,11936,11,1
197,11937,10,1
198,11948,20,1
199,11983,40,1
200,11993,10,-1
201,11993,20,1
202,11999,10,1
203,11999,20,1
204,12005,10,-1
205,12005,40,1
206,12009,10,-1
207,12009,40,1
208,12010,10,-1
209,12010,20,1
210,12033,10,-1
211,12033,11,1
212,12045,10,1
213,12045,11,1
214,12094,10,1
215,12104,10,1
