,HHID,PN,HB027,JB027,KB027,LB027
0,3,10,,,,
1,3,20,,,,
2,10001,10,,,,
3,10003,30,,,,
4,10004,10,,,,
5,10004,40,,,,
6,10013,40,,,,
7,10013,10,,,,
8,10038,10,,,,
9,10038,40,,,,
10,10050,10,,,,
11,10059,20,,,,
12,10059,30,,,,
13,10075,20,,,,
14,10075,30,,,,
15,10083,10,,,,
16,10083,20,,,,
17,10097,40,,,,
18,10099,10,,,,
19,10106,10,,,,
20,10109,30,,,,
21,10124,10,,,,
22,10147,10,,,,
23,10196,10,,,,
24,10206,10,,,,
25,10210,10,,,,
26,10210,20,,,,
27,10225,10,,,,
28,10240,10,-0.719006929,,,
29,10281,10,,,,
30,10281,20,,,,
31,10299,10,,,,
32,10299,11,,,,
33,10325,10,,,,
34,10325,20,,,,
35,10372,10,,,,
36,10378,10,,,,
37,10394,10,,,,
38,10394,40,,,,
39,10395,10,,,,
40,10395,20,,,,
41,10397,10,,,,
42,10397,40,,,,
43,10404,10,,,,
44,10410,10,,,,
45,10433,10,,,,
46,10451,10,,,,
47,10451,20,,,,
48,10453,10,,,,
49,10453,20,,,,
50,10458,20,,,,
51,10458,30,,,,
52,10475,10,,,,
53,10475,11,,,,
54,10477,10,,,,
55,10477,20,,,,
56,10481,10,,,,
57,10481,20,,,,
58,10482,10,,,,
59,10533,10,,,,
60,10546,10,,,,
61,10565,20,,,,
62,10568,10,,,,
63,10571,10,,,,
64,10577,10,,,,
65,10577,11,,,,
66,10592,10,,,,
67,10600,10,,,,
68,10602,10,,,,
69,10611,10,,,,
70,10648,10,,,,
71,10648,20,,,,
72,10652,10,,,,
73,10672,30,,,,
74,10677,10,,,,
75,10707,10,,,,
76,10707,20,,,,
77,10719,20,,,,
78,10719,30,,,,
79,10740,10,,,,
80,10766,10,,,,
81,10769,10,,,,
82,10769,40,,,,
83,10773,20,,,,
84,10773,30,,,,
85,10775,20,,,,
86,10775,30,,,,
87,10776,10,,,,
88,10781,10,,,,
89,10781,40,,,,
90,10818,10,,,,
91,10818,40,,,,
92,10822,10,,,,
93,10822,40,,,,
94,10893,10,,,,
95,10896,10,,,,
96,10902,10,,,,
97,10917,10,,,,
98,10923,20,,,,
99,10923,21,,,,
100,10929,10,,,,
101,10929,40,,,,
102,10941,10,,,,
103,10962,10,,,,
104,10989,10,,,,
105,10989,20,,,,
106,10994,10,,,,
107,11010,10,,,,
108,11067,20,,,,
109,11067,30,,,,
110,11071,10,,,,
111,11071,20,,,,
112,11074,20,,,,
113,11074,30,-0.719006929,,,
114,11141,10,,,,
115,11141,20,,,,
116,11179,10,,,,
117,11179,20,,,,
118,11186,10,,,,
119,11212,10,,,,
120,11219,10,,,,
121,11230,10,,,,
122,11241,40,,,,
123,11248,10,,,,
124,11253,10,,,,
125,11256,10,,,,
126,11256,40,,,,
127,11277,10,,,,
128,11323,10,,,,
129,11332,10,,,,
130,11332,20,,,,
131,11333,20,,,,
132,11333,30,,,,
133,11341,10,,,,
134,11347,20,,,,
135,11347,30,,,,
136,11368,10,,,,
137,11368,20,,,,
138,11377,10,,,,
139,11377,40,,,,
140,11378,10,,,,
141,11378,20,,,,
142,11379,10,,,,
143,11379,20,,,,
144,11387,20,,,,
145,11423,10,,,,
146,11466,40,,,,
147,11467,10,,,,
148,11477,10,,,,
149,11477,11,,,,
150,11478,10,0.552762552,,,
151,11479,10,,,,
152,11479,40,,,,
153,11505,10,,,,
154,11506,10,,,,
155,11542,40,,,,
156,11554,20,,,,
157,11554,30,,,,
158,11563,10,,,,
159,11575,20,,,,
160,11582,10,,,,
161,11582,20,,,,
162,11590,20,,,,
163,11608,10,,,,
164,11608,40,,,,
165,11611,10,,,,
166,11620,10,,,,
167,11620,40,,,,
168,11626,11,,,,
169,11667,20,,,,
170,11667,30,,,,
171,11671,10,,,,
172,11671,40,,,,
173,11678,10,,,,
174,11678,40,,,,
175,11690,10,,,,
176,11694,10,,,,
177,11694,20,,,,
178,11716,10,,,,
179,11765,10,,,,
180,11793,10,,,,
181,11798,10,,,,
182,11802,10,,,,
183,11802,20,,,,
184,11810,10,,,,
185,11825,10,,,,
186,11825,40,,,,
187,11826,11,,,,
188,11828,10,,,,
189,11841,10,,,,
190,11854,10,,,,
191,11854,20,,,,
192,11856,10,,,,
193,11859,10,,,,
194,11862,20,,,,
195,11862,30,,,,
196,11876,10,,,,
197,11876,40,,,,
198,11878,40,,,,
199,11881,10,,,,
