,HHID,PN,value
0,000001,010,1.658937939109326
1,000002,010,-1.1835018695876955
2,000003,010,-0.23602193335535507
3,000003,020,1.658937939109326
4,010001,010,-0.23602193335535507
5,010003,020,1.658937939109326
6,010003,030,1.658937939109326
7,010004,010,1.658937939109326
8,010004,040,-0.23602193335535507
9,010013,010,-0.23602193335535507
10,010013,040,0.7114580028769855
11,010038,010,1.658937939109326
12,010038,040,1.658937939109326
13,010050,010,1.658937939109326
14,010059,020,1.658937939109326
15,010059,030,1.658937939109326
16,010063,010,-1.1835018695876955
17,010075,020,-1.1835018695876955
18,010083,020,-1.1835018695876955
19,010090,010,-0.23602193335535507
20,010094,010,-0.23602193335535507
21,010097,010,-0.23602193335535507
22,010097,040,-1.1835018695876955
23,010099,010,-0.23602193335535507
24,010106,010,1.658937939109326
25,010109,020,1.658937939109326
26,010109,030,1.658937939109326
27,010114,010,-0.23602193335535507
28,010124,010,1.658937939109326
29,010147,010,-1.1835018695876955
30,010155,010,-1.1835018695876955
31,010196,010,-0.23602193335535507
32,010206,010,-0.23602193335535507
33,010210,010,-1.1835018695876955
34,010210,020,-1.1835018695876955
35,010217,010,-1.1835018695876955
36,010225,010,-1.1835018695876955
37,010237,020,0.7114580028769855
38,010237,030,1.658937939109326
39,010240,010,-1.1835018695876955
40,010257,010,-1.1835018695876955
41,010281,010,-0.23602193335535507
42,010281,020,-1.1835018695876955
43,010299,010,1.658937939109326
44,010325,020,0.7114580028769855
45,010346,010,-1.1835018695876955
46,010372,010,-1.1835018695876955
47,010378,010,1.658937939109326
48,010394,010,1.658937939109326
49,010394,040,1.658937939109326
50,010395,010,1.658937939109326
51,010395,020,0.7114580028769855
52,010397,010,1.658937939109326
53,010397,040,1.658937939109326
54,010404,010,-0.23602193335535507
55,010405,010,1.658937939109326
56,010405,040,-0.23602193335535507
57,010410,010,-1.1835018695876955
58,010414,020,-1.1835018695876955
59,010414,030,-1.1835018695876955
60,010417,010,-1.1835018695876955
61,010417,040,-1.1835018695876955
62,010433,010,-0.23602193335535507
63,010433,040,-0.23602193335535507
64,010451,010,1.658937939109326
65,010451,020,1.658937939109326
66,010453,010,-0.23602193335535507
67,010453,020,-0.23602193335535507
68,010458,020,0.7114580028769855
69,010458,030,1.658937939109326
70,010460,010,-0.23602193335535507
71,010465,010,-0.23602193335535507
72,010465,020,0.7114580028769855
73,010468,010,0.7114580028769855
74,010475,010,1.658937939109326
75,010477,010,1.658937939109326
76,010477,020,-0.23602193335535507
77,010481,010,1.658937939109326
78,010481,020,1.658937939109326
79,010482,010,0.7114580028769855
80,010533,010,1.658937939109326
81,010533,020,0.7114580028769855
82,010537,010,-0.23602193335535507
83,010546,010,-0.23602193335535507
84,010556,010,-0.23602193335535507
85,010565,020,-0.23602193335535507
86,010565,030,0.7114580028769855
87,010567,010,-0.23602193335535507
88,010568,010,0.7114580028769855
89,010571,010,-1.1835018695876955
90,010571,020,-0.23602193335535507
91,010577,010,1.658937939109326
92,010592,010,-0.23602193335535507
93,010600,010,-0.23602193335535507
94,010602,010,-0.23602193335535507
95,010611,010,-1.1835018695876955
96,010644,010,-0.23602193335535507
97,010644,040,-0.23602193335535507
98,010645,020,-1.1835018695876955
99,010645,030,-0.23602193335535507
100,010646,020,-0.23602193335535507
101,010648,010,-0.23602193335535507
102,010648,020,-0.23602193335535507
103,010652,010,0.7114580028769855
104,010671,010,0.7114580028769855
105,010672,030,0.7114580028769855
106,010677,010,-1.1835018695876955
107,010689,020,-1.1835018695876955
108,010696,010,1.658937939109326
109,010707,010,-1.1835018695876955
110,010707,020,-1.1835018695876955
111,010708,020,-0.23602193335535507
112,010708,030,-0.23602193335535507
113,010719,020,-1.1835018695876955
114,010719,030,-1.1835018695876955
115,010740,010,0.7114580028769855
116,010751,010,-0.23602193335535507
117,010752,010,-1.1835018695876955
118,010756,010,-1.1835018695876955
119,010766,010,-1.1835018695876955
120,010769,010,1.658937939109326
121,010769,040,-0.23602193335535507
122,010773,020,-1.1835018695876955
123,010773,030,1.658937939109326
124,010775,020,0.7114580028769855
125,010775,030,1.658937939109326
126,010776,010,1.658937939109326
127,010781,010,1.658937939109326
128,010818,010,0.7114580028769855
129,010818,040,0.7114580028769855
130,010821,030,0.7114580028769855
131,010822,010,-0.23602193335535507
132,010822,040,0.7114580028769855
133,010853,010,0.7114580028769855
134,010893,010,1.658937939109326
135,010896,010,1.658937939109326
136,010902,010,0.7114580028769855
137,010917,010,1.658937939109326
138,010923,020,1.658937939109326
139,010923,030,0.7114580028769855
140,010926,010,0.7114580028769855
141,010926,040,1.658937939109326
142,010929,040,0.7114580028769855
143,010941,010,-0.23602193335535507
144,010951,010,1.658937939109326
145,010956,010,-1.1835018695876955
146,010956,040,-1.1835018695876955
147,010962,010,0.7114580028769855
148,010962,040,0.7114580028769855
149,010989,010,-1.1835018695876955
150,010989,020,1.658937939109326
151,010990,010,-1.1835018695876955
152,010990,040,-0.23602193335535507
153,010994,010,-1.1835018695876955
154,011010,010,-0.23602193335535507
155,011067,020,0.7114580028769855
156,011067,030,-0.23602193335535507
157,011071,010,0.7114580028769855
158,011071,020,-0.23602193335535507
159,011074,020,-0.23602193335535507
160,011074,030,1.658937939109326
161,011141,010,1.658937939109326
162,011141,020,1.658937939109326
163,011147,010,1.658937939109326
164,011155,010,0.7114580028769855
165,011179,020,-1.1835018695876955
166,011186,010,-0.23602193335535507
167,011212,010,1.658937939109326
168,011214,010,1.658937939109326
169,011218,010,-1.1835018695876955
170,011219,010,0.7114580028769855
171,011219,020,0.7114580028769855
172,011230,010,-1.1835018695876955
173,011241,010,-0.23602193335535507
174,011241,040,-0.23602193335535507
175,011248,010,-0.23602193335535507
176,011253,010,-1.1835018695876955
177,011256,010,0.7114580028769855
178,011256,040,-1.1835018695876955
179,011264,010,-1.1835018695876955
180,011264,020,
181,011277,010,-1.1835018695876955
182,011323,010,-1.1835018695876955
183,011332,010,-0.23602193335535507
184,011332,020,-1.1835018695876955
185,011333,020,1.658937939109326
186,011333,030,-0.23602193335535507
187,011341,010,-0.23602193335535507
188,011341,020,0.7114580028769855
189,011345,010,-0.23602193335535507
190,011345,020,0.7114580028769855
191,011347,020,0.7114580028769855
192,011347,030,1.658937939109326
193,011368,010,0.7114580028769855
194,011368,020,-0.23602193335535507
195,011377,010,0.7114580028769855
196,011377,040,-0.23602193335535507
197,011378,010,-0.23602193335535507
198,011378,020,-1.1835018695876955
199,011379,010,0.7114580028769855
200,011379,020,1.658937939109326
201,011380,010,-1.1835018695876955
202,011380,040,-1.1835018695876955
203,011387,020,-1.1835018695876955
204,011387,030,0.7114580028769855
205,011423,010,-0.23602193335535507
206,011466,010,-1.1835018695876955
207,011466,040,-1.1835018695876955
208,011467,010,-1.1835018695876955
209,011469,030,-1.1835018695876955
210,011477,010,-1.1835018695876955
211,011478,010,-1.1835018695876955
212,011479,010,0.7114580028769855
213,011479,040,-1.1835018695876955
214,011505,010,-1.1835018695876955
215,011506,010,0.7114580028769855
216,011522,010,0.7114580028769855
217,011524,010,-0.23602193335535507
218,011524,020,-1.1835018695876955
219,011542,010,-1.1835018695876955
220,011542,040,-0.23602193335535507
221,011549,020,-0.23602193335535507
222,011549,030,-1.1835018695876955
223,011554,030,-1.1835018695876955
224,011563,010,-1.1835018695876955
