,HHID,PN,value
0,3,10,-0.007925231
1,3,20,-0.007925231
2,10001,10,
3,10003,30,-1.006768557
4,10004,10,-1.006768557
5,10004,40,-1.006768557
6,10013,10,0.990918095
7,10013,40,-0.007925231
8,10038,10,-1.006768557
9,10038,40,-1.006768557
10,10050,10,-1.006768557
11,10059,20,-1.006768557
12,10059,30,
13,10063,10,
14,10075,20,
15,10075,30,
16,10083,10,
17,10083,20,
18,10097,40,
19,10109,30,-0.007925231
20,10147,10,-1.006768557
21,10196,10,-0.007925231
22,10206,10,
23,10210,10,
24,10210,20,
25,10225,10,-0.007925231
26,10281,10,
27,10281,20,
28,10299,10,
29,10299,12,
30,10372,10,
31,10394,10,
32,10394,40,
33,10395,10,
34,10395,20,
35,10397,10,
36,10397,40,
37,10404,10,0.990918095
38,10433,10,
39,10451,10,-0.007925231
40,10451,20,-1.006768557
41,10453,10,-1.006768557
42,10453,20,-1.006768557
43,10458,20,-0.007925231
44,10458,30,-1.006768557
45,10465,10,
46,10475,10,
47,10475,11,
48,10477,10,
49,10477,20,
50,10481,10,-1.006768557
51,10481,20,-0.007925231
52,10482,10,
53,10533,10,
54,10533,11,
55,10537,10,0.990918095
56,10546,10,-0.007925231
57,10565,20,
58,10568,10,
59,10571,10,-0.007925231
60,10577,10,
61,10577,11,
62,10592,10,
63,10600,10,
64,10611,10,
65,10645,30,
66,10645,31,
67,10648,10,-0.007925231
68,10648,20,0.990918095
69,10652,10,-0.007925231
70,10672,30,
71,10672,31,
72,10707,10,
73,10707,20,
74,10719,20,
75,10719,30,
76,10740,10,
77,10756,10,
78,10756,11,
79,10769,10,-1.006768557
80,10769,40,-1.006768557
81,10773,20,
82,10773,30,
83,10775,20,
84,10775,30,
85,10776,10,
86,10818,10,-0.007925231
87,10818,40,-0.007925231
88,10822,10,
89,10822,40,
90,10893,10,
91,10896,10,
92,10902,10,0.990918095
93,10917,10,1.989761421
94,10941,10,0.990918095
95,10962,10,
96,10989,10,-1.006768557
97,10989,20,-0.007925231
98,10994,10,
99,11010,10,1.989761421
100,11067,20,-1.006768557
101,11067,30,-1.006768557
102,11071,10,-1.006768557
103,11071,20,0.990918095
104,11074,20,
105,11141,10,-1.006768557
106,11141,20,-1.006768557
107,11179,10,-0.007925231
108,11179,20,-0.007925231
109,11186,10,-1.006768557
110,11212,10,
111,11219,10,
