,HHID,value
0,3,-0.107796479
1,10001,0.846210204
2,10003,2.754223568
3,10004,-0.107796479
4,10013,-0.107796479
5,10013,0.846210204
6,10013,-0.107796479
7,10013,0.846210204
8,10038,-0.107796479
9,10050,-0.107796479
10,10059,-1.061803161
11,10063,
12,10075,-1.061803161
13,10083,0.846210204
14,10097,-0.107796479
15,10109,-0.107796479
16,10147,0.846210204
17,10196,1.800216886
18,10206,1.800216886
19,10210,0.846210204
20,10225,0.846210204
21,10281,
22,10299,-1.061803161
23,10299,-0.107796479
24,10372,0.846210204
25,10394,-1.061803161
26,10395,-1.061803161
27,10397,-0.107796479
28,10404,-1.061803161
29,10433,-1.061803161
30,10451,-0.107796479
31,10453,-1.061803161
32,10458,
33,10465,
34,10475,-1.061803161
35,10477,-1.061803161
36,10481,-1.061803161
37,10482,-0.107796479
38,10533,1.800216886
39,10537,0.846210204
40,10546,
41,10565,0.846210204
42,10568,-1.061803161
43,10571,-1.061803161
44,10577,-1.061803161
45,10577,-1.061803161
46,10592,0.846210204
47,10600,
48,10611,
49,10645,-0.107796479
50,10648,1.800216886
51,10652,-1.061803161
52,10672,2.754223568
53,10672,2.754223568
54,10707,-0.107796479
55,10719,-0.107796479
56,10719,-0.107796479
57,10740,
58,10756,0.846210204
59,10769,-0.107796479
60,10773,-0.107796479
61,10775,0.846210204
62,10776,
63,10818,-1.061803161
64,10822,-1.061803161
65,10893,-0.107796479
66,10896,-1.061803161
67,10902,-0.107796479
68,10917,0.846210204
69,10941,-1.061803161
70,10962,-0.107796479
71,10989,-1.061803161
72,10994,-1.061803161
73,11010,1.800216886
74,11067,-0.107796479
75,11071,0.846210204
76,11074,-0.107796479
77,11141,-0.107796479
78,11179,-1.061803161
79,11186,1.800216886
80,11212,-0.107796479
81,11219,
82,11230,1.800216886
83,11248,1.800216886
84,11253,0.846210204
85,11256,0.846210204
86,11277,1.800216886
87,11323,
88,11332,-1.061803161
89,11333,-1.061803161
90,11341,-1.061803161
91,11345,0.846210204
92,11347,-1.061803161
93,11368,-1.061803161
94,11377,-0.107796479
95,11378,-1.061803161
96,11379,-0.107796479
97,11387,-0.107796479
98,11423,2.754223568
99,11466,1.800216886
100,11467,2.754223568
101,11477,1.800216886
102,11477,1.800216886
103,11479,-0.107796479
104,11506,0.846210204
105,11563,-0.107796479
106,11575,0.846210204
107,11582,-0.107796479
108,11590,-0.107796479
109,11608,-0.107796479
110,11611,-0.107796479
111,11612,
112,11620,-1.061803161
113,11626,-1.061803161
114,11656,-0.107796479
115,11667,0.846210204
116,11671,
117,11678,-0.107796479
118,11678,0.846210204
119,11678,-0.107796479
120,11678,0.846210204
121,11690,-1.061803161
122,11694,1.800216886
123,11716,2.754223568
124,11765,1.800216886
125,11787,0.846210204
126,11793,-0.107796479
127,11798,
128,11802,-1.061803161
129,11825,-0.107796479
130,11841,-1.061803161
131,11854,-0.107796479
132,11856,-1.061803161
133,11859,2.754223568
134,11862,0.846210204
135,11862,2.754223568
136,11862,0.846210204
137,11862,2.754223568
138,11876,1.800216886
139,11881,-1.061803161
140,11902,-0.107796479
141,11907,
142,11911,-1.061803161
143,11932,-0.107796479
144,11933,-1.061803161
145,11936,-0.107796479
146,11937,1.800216886
147,11948,1.800216886
148,11983,0.846210204
149,11993,-1.061803161
150,11999,-1.061803161
151,12005,-0.107796479
152,12009,-0.107796479
153,12010,-1.061803161
154,12033,-1.061803161
155,12033,-0.107796479
156,12033,-1.061803161
157,12033,-0.107796479
158,12045,-0.107796479
159,12094,-1.061803161
160,12104,2.754223568
161,12106,
162,12108,
163,12112,0.846210204
164,12118,-1.061803161
165,12124,1.800216886
166,12135,-1.061803161
167,12145,-0.107796479
168,12161,1.800216886
169,12162,0.846210204
170,12166,-0.107796479
171,12172,0.846210204
172,12174,
173,12178,0.846210204
174,12179,1.800216886
175,12183,2.754223568
176,12195,-1.061803161
177,12196,1.800216886
178,12218,-0.107796479
179,12223,-0.107796479
180,12232,-0.107796479
181,12235,-1.061803161
182,12242,-0.107796479
183,12243,-0.107796479
184,12252,-0.107796479
185,12273,-1.061803161
186,12274,-1.061803161
187,12276,-0.107796479
188,12280,-1.061803161
189,12285,-1.061803161
190,12292,-0.107796479
191,12302,0.846210204
192,12310,-0.107796479
193,12315,-1.061803161
194,12318,-1.061803161
195,12319,-0.107796479
196,12344,-1.061803161
197,12393,0.846210204
198,12394,0.846210204
199,12401,-1.061803161
200,12417,
201,12418,
202,12443,-0.107796479
203,12445,0.846210204
204,12455,-0.107796479
205,12458,-0.107796479
206,12474,-0.107796479
207,12479,0.846210204
208,12481,0.846210204
209,12484,0.846210204
210,12494,-1.061803161
211,12507,-0.107796479
212,12510,-1.061803161
213,12512,-0.107796479
214,12513,-1.061803161
215,12514,
216,12516,-0.107796479
217,12520,-0.107796479
218,12529,-0.107796479
219,12543,-1.061803161
220,12549,0.846210204
221,12549,-1.061803161
222,12549,0.846210204
223,12549,-1.061803161
224,12562,-1.061803161
225,12571,-1.061803161
226,12573,-1.061803161
227,12574,-0.107796479
228,12586,-1.061803161
229,12588,-0.107796479
230,12596,-1.061803161
231,12605,2.754223568
232,12605,0.846210204
233,12605,2.754223568
234,12605,0.846210204
235,12611,1.800216886
236,12629,-1.061803161
237,12629,-1.061803161
238,12648,-1.061803161
239,12653,0.846210204
240,12666,1.800216886
241,12667,-0.107796479
242,12671,1.800216886
243,12682,0.846210204
244,12695,-0.107796479
245,12709,0.846210204
246,12715,-0.107796479
247,12738,1.800216886
248,12744,0.846210204
249,12745,-0.107796479
250,12756,-0.107796479
251,12761,
252,12762,
253,12765,0.846210204
254,12786,-1.061803161
255,12792,-0.107796479
256,12799,
257,12821,0.846210204
258,12852,-0.107796479
259,12852,-0.107796479
260,12854,-0.107796479
261,12864,-1.061803161
262,12887,-0.107796479
263,12909,1.800216886
264,12920,0.846210204
265,12948,
266,12964,0.846210204
267,12967,-1.061803161
268,12979,-0.107796479
269,12981,-1.061803161
270,12987,-0.107796479
271,13054,0.846210204
272,13062,0.846210204
273,13063,0.846210204
274,13137,-1.061803161
275,13140,-0.107796479
276,13142,0.846210204
277,13158,-0.107796479
278,13176,-1.061803161
279,13189,-1.061803161
280,13194,1.800216886
281,13194,-0.107796479
282,13208,1.800216886
283,13211,0.846210204
284,13212,
285,13216,0.846210204
286,13231,-1.061803161
287,13238,
288,13242,1.800216886
289,13257,1.800216886
290,13286,1.800216886
291,13296,1.800216886
292,13305,2.754223568
293,13317,0.846210204
294,13318,-0.107796479
295,13344,-0.107796479
296,13371,-1.061803161
297,13376,
298,13387,-0.107796479
299,13390,-1.061803161
300,13392,0.846210204
301,13399,0.846210204
302,13418,-0.107796479
303,13418,0.846210204
304,13433,1.800216886
305,13465,0.846210204
306,13518,0.846210204
307,13527,0.846210204
308,13527,-0.107796479
309,13547,-0.107796479
310,13552,-0.107796479
311,13560,-0.107796479
312,13561,-0.107796479
313,13573,
314,13583,-0.107796479
315,13590,-0.107796479
316,13595,-1.061803161
317,13598,-1.061803161
318,13600,-1.061803161
319,13601,-0.107796479
320,13602,
321,13612,-1.061803161
322,13631,-1.061803161
323,13635,-1.061803161
324,13637,-1.061803161
325,13656,1.800216886
326,13671,-0.107796479
327,13699,-1.061803161
328,13734,-0.107796479
329,13738,-1.061803161
330,13753,-1.061803161
331,13757,-1.061803161
332,13772,-1.061803161
333,13784,-1.061803161
334,13802,-0.107796479
335,13813,-1.061803161
336,13814,-1.061803161
337,13815,-1.061803161
338,13816,-0.107796479
339,13817,-0.107796479
340,13817,-0.107796479
341,13817,-0.107796479
342,13817,-0.107796479
343,13820,-0.107796479
344,13857,0.846210204
345,13858,-1.061803161
346,13894,
347,13897,-1.061803161
348,13899,-1.061803161
349,13899,-0.107796479
350,13899,-1.061803161
351,13899,-0.107796479
352,13902,-1.061803161
353,13912,-0.107796479
354,13915,-0.107796479
355,13915,-1.061803161
356,13915,-0.107796479
357,13915,-1.061803161
358,13916,-0.107796479
359,13965,-1.061803161
360,13974,
361,14008,2.754223568
362,14024,-0.107796479
363,14028,-1.061803161
364,14033,-0.107796479
365,14036,-0.107796479
366,14036,-0.107796479
367,14043,0.846210204
368,14063,0.846210204
369,14069,-1.061803161
370,14072,-0.107796479
371,14080,-1.061803161
372,14080,0.846210204
373,14081,-0.107796479
374,14085,-0.107796479
375,14092,-1.061803161
376,14098,0.846210204
377,14104,0.846210204
378,14115,-0.107796479
379,14136,2.754223568
380,14136,2.754223568
381,14137,0.846210204
382,14147,-0.107796479
383,14149,-1.061803161
384,14157,-0.107796479
385,14159,-1.061803161
386,14167,-1.061803161
387,14179,-0.107796479
388,14188,-0.107796479
389,14199,-1.061803161
390,14202,0.846210204
391,14212,0.846210204
392,14214,-0.107796479
393,14215,-0.107796479
394,14223,-0.107796479
395,14224,1.800216886
396,14234,-0.107796479
397,14234,-0.107796479
398,14234,-1.061803161
399,14234,-0.107796479
400,14234,-0.107796479
401,14234,-1.061803161
402,14234,-0.107796479
403,14234,-0.107796479
404,14234,-1.061803161
405,14244,-1.061803161
406,14247,-1.061803161
407,14251,0.846210204
408,14252,-0.107796479
409,14259,0.846210204
410,14270,-1.061803161
411,14272,-0.107796479
412,14275,-1.061803161
413,14307,-1.061803161
414,14332,0.846210204
415,14332,-1.061803161
416,14332,0.846210204
417,14332,-1.061803161
418,14341,-0.107796479
419,14349,-1.061803161
420,14359,2.754223568
421,14397,1.800216886
422,14411,-0.107796479
423,14420,-0.107796479
424,14427,-1.061803161
425,14428,
426,14430,-0.107796479
427,14433,-1.061803161
428,14434,-1.061803161
429,14436,-0.107796479
430,14449,-0.107796479
431,14455,-0.107796479
432,14456,-1.061803161
433,14458,-1.061803161
434,14535,
435,14535,
436,14553,
437,14568,0.846210204
438,14587,-1.061803161
439,14605,-1.061803161
440,14617,-0.107796479
441,14619,0.846210204
442,14624,-0.107796479
443,14640,0.846210204
444,14655,0.846210204
445,14670,
446,14674,-1.061803161
447,14681,2.754223568
448,14701,-0.107796479
449,14711,-0.107796479
450,14711,1.800216886
451,14711,-1.061803161
452,14711,-0.107796479
453,14711,1.800216886
454,14711,-1.061803161
455,14711,-0.107796479
456,14711,1.800216886
457,14711,-1.061803161
458,14726,-1.061803161
459,14736,-1.061803161
460,14746,-1.061803161
461,14748,-0.107796479
462,14754,-1.061803161
463,14754,-0.107796479
464,14754,-1.061803161
465,14754,-0.107796479
466,14756,-1.061803161
467,14758,-0.107796479
468,14782,-1.061803161
469,14787,2.754223568
470,14830,0.846210204
471,14844,-1.061803161
472,14852,-1.061803161
473,14869,0.846210204
474,14872,-0.107796479
475,14955,-1.061803161
476,14959,0.846210204
477,14996,0.846210204
478,15000,
479,15015,-0.107796479
480,15023,-1.061803161
481,15048,0.846210204
482,15056,0.846210204
483,15080,-0.107796479
484,15129,0.846210204
485,15140,0.846210204
486,15140,0.846210204
487,15148,1.800216886
488,15159,1.800216886
