,HHID,PN,value
0,000003,010,
1,000003,020,
2,010001,010,-1.3210006556951879
3,010003,030,
4,010004,010,
5,010004,040,
6,010013,010,
7,010013,040,
8,010038,010,
9,010038,040,
10,010050,010,
11,010059,020,
12,010059,030,
13,010075,020,1.110391237817975
14,010083,010,
15,010083,020,-0.04132071174089153
16,010097,040,0.34258327144539774
17,010109,030,
18,010147,010,
19,010196,010,
20,010206,010,
21,010210,010,-0.42522469492718024
22,010210,020,-0.9370966725088989
23,010225,010,
24,010299,010,-0.55319268932261
25,010299,011,
26,010299,012,
27,010372,010,0.34258327144539774
28,010394,010,1.3663272266088347
29,010394,040,1.110391237817975
30,010395,010,1.3663272266088347
31,010395,020,0.7264872546316864
32,010397,010,0.7264872546316864
33,010397,040,-1.4489686500906174
34,010404,010,
35,010433,010,-0.04132071174089153
36,010451,010,
37,010451,020,
38,010453,010,
39,010453,020,
40,010475,010,-1.576936644486047
41,010475,011,-1.0650646669043284
42,010477,010,1.110391237817975
43,010477,020,1.238359232213405
44,010481,010,
45,010481,020,
46,010482,010,
47,010533,010,-0.55319268932261
48,010533,011,
49,010537,010,
50,010537,011,
51,010565,020,0.5985192602362567
52,010568,010,
53,010571,010,
54,010577,010,-1.1930326612997582
55,010577,011,0.9824232434225459
56,010592,010,-0.04132071174089153
57,010645,031,-0.42522469492718024
58,010648,010,
59,010648,020,
60,010652,010,
61,010672,031,
62,010696,010,
63,010707,010,-1.3210006556951879
64,010707,020,-0.9370966725088989
65,010708,030,
66,010719,020,
67,010756,010,0.08664728265453822
68,010756,011,-1.3210006556951879
69,010769,010,
70,010769,040,
71,010773,020,-0.16928870613632127
72,010773,030,
73,010775,020,-0.42522469492718024
74,010775,030,-0.6811606837180397
75,010781,010,0.7264872546316864
76,010781,040,0.5985192602362567
77,010818,010,
78,010818,040,
79,010822,010,0.4705512658408269
80,010822,040,0.7264872546316864
81,010893,010,
82,010896,010,
83,010902,010,
84,010917,010,
85,010941,010,
86,010962,010,1.3663272266088347
87,010989,010,
88,010989,020,
89,010994,010,
90,011010,010,
91,011067,020,
92,011067,030,
93,011071,010,
94,011071,020,
95,011074,020,0.5985192602362567
96,011141,010,
97,011141,020,
98,011179,010,
99,011179,020,
100,011186,010,
101,011212,010,
102,011212,011,
103,011230,010,
104,011248,010,
105,011253,010,0.8544552490271161
106,011256,010,
107,011256,040,
108,011277,010,
109,011332,010,1.110391237817975
110,011332,020,0.21461527704996797
111,011333,020,
112,011333,030,
113,011341,010,
114,011345,010,
115,011345,020,
116,011347,020,
117,011347,030,
118,011368,010,0.8544552490271161
119,011368,020,-1.8328726332769063
120,011377,010,-0.42522469492718024
121,011377,040,-1.7049046388814766
122,011378,010,
123,011378,020,
124,011379,020,
125,011387,020,
126,011423,010,-1.3210006556951879
127,011466,040,-0.42522469492718024
128,011467,010,0.7264872546316864
129,011477,010,-0.16928870613632127
130,011479,040,-1.4489686500906174
131,011506,010,-1.0650646669043284
132,011563,010,0.4705512658408269
133,011575,020,
134,011582,020,
135,011590,020,
136,011608,010,
137,011608,040,
138,011611,010,0.5985192602362567
139,011620,010,
140,011620,040,
141,011626,010,-0.04132071174089153
142,011626,011,-1.3210006556951879
143,011656,010,
144,011667,020,-0.16928870613632127
145,011667,030,0.5985192602362567
146,011678,010,
147,011678,040,-0.6811606837180397
148,011678,041,-0.04132071174089153
149,011690,010,1.238359232213405
150,011694,010,0.08664728265453822
151,011694,020,
152,011716,010,
153,011765,010,
154,011787,010,-2.2167766164631955
155,011793,010,
156,011802,010,
157,011825,010,-0.55319268932261
158,011826,011,
159,011841,010,
160,011854,010,
161,011854,020,
162,011856,010,
163,011859,010,-1.0650646669043284
164,011862,020,
165,011862,030,-0.6811606837180397
166,011876,010,
167,011878,040,-1.1930326612997582
168,011881,010,-0.8091286781134692
169,011881,011,0.4705512658408269
170,011902,030,
171,011902,031,
172,011911,010,-1.1930326612997582
173,011911,040,0.4705512658408269
174,011932,020,0.7264872546316864
175,011933,010,0.4705512658408269
176,011936,010,-0.8091286781134692
177,011936,011,-1.4489686500906174
178,011937,010,
179,011948,020,-1.4489686500906174
180,011983,040,0.7264872546316864
181,011993,010,1.3663272266088347
182,011993,020,0.7264872546316864
183,011999,010,
184,011999,020,
185,012005,010,
186,012009,010,0.7264872546316864
187,012009,040,-0.16928870613632127
188,012010,010,
189,012010,020,
190,012033,010,-0.8091286781134692
191,012033,011,0.08664728265453822
192,012045,011,1.238359232213405
193,012094,010,-0.16928870613632127
194,012104,010,-0.16928870613632127
195,012104,020,0.4705512658408269
196,012112,030,0.4705512658408269
197,012118,030,0.34258327144539774
198,012124,020,
199,012124,030,
200,012135,020,0.5985192602362567
201,012135,030,-1.0650646669043284
202,012145,020,0.34258327144539774
203,012161,010,0.21461527704996797
204,012161,020,1.110391237817975
205,012162,010,
206,012166,010,
207,012166,040,
208,012172,010,0.4705512658408269
209,012172,020,0.21461527704996797
210,012178,010,
211,012179,010,-1.1930326612997582
212,012183,010,
213,012195,010,-1.4489686500906174
214,012196,010,0.9824232434225459
215,012196,020,0.34258327144539774
216,012218,010,0.5985192602362567
217,012218,020,-0.42522469492718024
218,012223,020,0.7264872546316864
219,012232,010,
220,012232,040,
221,012235,010,
222,012235,040,
223,012242,010,
224,012242,020,
225,012243,020,0.8544552490271161
226,012243,030,1.238359232213405
227,012252,020,
228,012257,010,
229,012257,040,
230,012273,010,0.9824232434225459
231,012273,040,0.08664728265453822
232,012274,010,0.08664728265453822
233,012274,020,0.8544552490271161
234,012276,020,0.8544552490271161
235,012276,030,0.7264872546316864
236,012280,020,-0.42522469492718024
237,012280,030,1.238359232213405
238,012285,010,-1.4489686500906174
239,012292,010,
240,012302,010,
241,012310,010,
242,012310,011,
243,012315,010,
244,012315,040,
245,012318,010,0.9824232434225459
246,012319,010,
247,012344,010,1.110391237817975
248,012344,020,0.34258327144539774
249,012393,020,
250,012393,030,
251,012394,010,-0.04132071174089153
252,012401,040,-1.1930326612997582
253,012443,010,
254,012443,040,
255,012445,010,
256,012455,010,
257,012458,020,
258,012474,040,0.5985192602362567
259,012479,010,
260,012481,010,-0.8091286781134692
261,012481,011,-0.29725670053175046
262,012484,010,
263,012484,020,
264,012494,040,
265,012507,010,
266,012510,010,0.7264872546316864
267,012510,020,1.3663272266088347
268,012512,010,1.110391237817975
269,012512,020,-0.42522469492718024
270,012513,010,
271,012513,020,0.9824232434225459
272,012516,010,0.5985192602362567
273,012516,040,
274,012520,040,
275,012529,020,
276,012543,010,
277,012549,010,0.08664728265453822
278,012549,011,-0.16928870613632127
279,012549,040,
280,012562,011,1.238359232213405
281,012571,020,0.7264872546316864
282,012573,010,
283,012573,011,-0.29725670053175046
284,012574,020,
285,012586,010,
286,012586,020,
287,012588,010,
288,012588,020,
289,012596,010,-0.55319268932261
290,012596,040,
291,012605,010,
292,012605,040,
293,012605,041,
294,012611,010,
295,012611,020,
296,012629,010,
297,012629,011,
298,012648,040,
299,012653,010,
300,012653,040,
301,012666,010,0.08664728265453822
302,012667,010,
303,012671,010,
304,012682,010,0.21461527704996797
305,012695,020,
306,012695,030,
307,012709,020,
308,012715,020,
309,012715,030,
310,012738,010,
311,012738,020,
312,012744,010,
313,012744,011,
314,012745,010,
315,012745,020,
316,012756,010,0.5985192602362567
317,012756,011,0.4705512658408269
318,012762,020,-0.29725670053175046
319,012765,010,-0.04132071174089153
320,012786,010,0.9824232434225459
321,012792,010,
322,012821,010,
323,012852,020,
324,012852,030,-0.29725670053175046
325,012854,010,
326,012864,020,
327,012887,010,
328,012909,020,
329,012920,010,
330,012964,040,
331,012967,010,1.238359232213405
332,012974,010,0.8544552490271161
333,012974,020,-0.55319268932261
334,012979,010,
335,012979,020,
336,012981,030,0.4705512658408269
337,012987,020,
338,013008,010,
339,013008,040,
340,013054,040,
341,013062,010,-0.29725670053175046
342,013063,010,
343,013137,020,
344,013137,021,
345,013140,010,
346,013140,040,
347,013142,010,1.3663272266088347
348,013142,020,1.3663272266088347
349,013158,010,
350,013176,020,
351,013189,020,
352,013189,030,
353,013194,010,
354,013194,011,
355,013208,010,
356,013208,040,
357,013211,010,
358,013211,020,
359,013216,010,0.5985192602362567
360,013231,010,
361,013231,020,
362,013238,010,
363,013242,010,
364,013257,010,
365,013286,010,
366,013286,020,-0.29725670053175046
367,013296,010,0.8544552490271161
368,013305,030,
369,013317,010,-0.29725670053175046
370,013317,040,-1.0650646669043284
371,013318,010,
372,013318,020,
373,013344,010,0.21461527704996797
374,013344,040,-1.0650646669043284
375,013371,010,
376,013371,012,
377,013387,040,-0.55319268932261
378,013390,020,
379,013390,021,
380,013392,020,
381,013399,010,
382,013418,010,
383,013418,020,
384,013433,030,
385,013465,010,
386,013465,040,-0.9370966725088989
387,013518,040,-2.0888086220677655
388,013527,010,0.21461527704996797
389,013527,020,0.21461527704996797
390,013547,020,-0.55319268932261
391,013552,020,
392,013552,030,
393,013560,010,
394,013561,020,-0.42522469492718024
395,013583,030,-0.55319268932261
396,013590,030,
397,013590,040,
398,013595,011,-0.42522469492718024
399,013598,010,
400,013598,020,
401,013600,010,0.9824232434225459
402,013600,020,1.3663272266088347
403,013601,040,0.5985192602362567
404,013612,010,0.7264872546316864
405,013631,010,1.3663272266088347
406,013635,010,
407,013635,020,
408,013637,010,
409,013637,040,
410,013656,040,
411,013671,010,
412,013671,020,
413,013678,010,0.21461527704996797
414,013678,040,0.7264872546316864
415,013699,010,0.5985192602362567
416,013734,010,
417,013734,020,
418,013738,010,
419,013738,020,
420,013753,010,1.3663272266088347
421,013753,020,0.7264872546316864
422,013757,030,
423,013772,020,
424,013772,030,
425,013784,010,0.8544552490271161
426,013784,040,0.34258327144539774
427,013802,020,-0.6811606837180397
428,013813,010,-0.42522469492718024
429,013814,010,0.08664728265453822
430,013814,040,-0.29725670053175046
431,013815,010,
