,HHID,PN,JJ005M1,KJ005M1,HJ005M1,G3365M1,F3115M1,E2611M1
0,000003,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,000003,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,010001,010,-1.0,-1.0,-1.0,-1.0,1.0,1.0
3,010003,030,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
4,010004,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,010004,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,010013,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,010013,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,010038,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,010038,040,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
10,010050,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,010059,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,010059,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,010063,010,-1.0,-1.0,,,,-1.0
14,010075,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,010075,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,010083,010,-1.0,-1.0,-1.0,-1.0,-1.0,
17,010083,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,010097,040,1.0,-1.0,1.0,1.0,-1.0,-1.0
19,010099,010,-1.0,,-1.0,,-1.0,-1.0
20,010109,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,010124,010,-1.0,,-1.0,-1.0,-1.0,
22,010147,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,010196,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,010206,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,010210,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,010210,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,010225,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,010281,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,010281,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,010299,010,-1.0,-1.0,-1.0,-1.0,-1.0,
31,010299,011,-1.0,,-1.0,-1.0,-1.0,
32,010325,010,-1.0,,-1.0,-1.0,-1.0,-1.0
33,010325,020,-1.0,,-1.0,-1.0,-1.0,-1.0
34,010372,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,010378,010,-1.0,,-1.0,-1.0,-1.0,-1.0
