,HHID,PN,value
0,000003,010,2.072560243506291
1,000003,020,-0.32536715969596974
2,010001,010,-0.32536715969596974
3,010003,030,2.072560243506291
4,010004,010,2.072560243506291
5,010004,040,-0.32536715969596974
6,010013,010,2.072560243506291
7,010013,040,-0.32536715969596974
8,010038,010,-0.32536715969596974
9,010038,040,-0.32536715969596974
10,010050,010,-0.32536715969596974
11,010059,020,2.072560243506291
12,010059,030,-0.32536715969596974
13,010063,010,-0.32536715969596974
14,010075,020,-0.32536715969596974
15,010075,030,-0.32536715969596974
16,010083,010,-0.32536715969596974
17,010083,020,-0.32536715969596974
18,010097,040,-0.32536715969596974
19,010109,030,2.072560243506291
20,010147,010,-0.32536715969596974
21,010196,010,-0.32536715969596974
22,010206,010,-0.32536715969596974
23,010210,010,-0.32536715969596974
24,010210,020,-0.32536715969596974
25,010225,010,-0.32536715969596974
26,010281,010,-0.32536715969596974
27,010281,020,-0.32536715969596974
28,010299,010,-0.32536715969596974
29,010299,012,-0.32536715969596974
30,010372,010,-0.32536715969596974
31,010394,010,-0.32536715969596974
32,010394,040,-0.32536715969596974
33,010395,010,-0.32536715969596974
34,010395,020,-0.32536715969596974
35,010397,010,-0.32536715969596974
36,010397,040,-0.32536715969596974
37,010404,010,-0.32536715969596974
38,010433,010,-0.32536715969596974
39,010451,010,-0.32536715969596974
40,010451,020,-0.32536715969596974
41,010453,010,-0.32536715969596974
42,010453,020,-0.32536715969596974
43,010458,020,-0.32536715969596974
44,010458,030,-0.32536715969596974
45,010465,010,-0.32536715969596974
46,010475,010,-0.32536715969596974
47,010475,011,-0.32536715969596974
48,010477,010,-0.32536715969596974
49,010477,020,-0.32536715969596974
50,010481,010,-0.32536715969596974
51,010481,020,-0.32536715969596974
52,010482,010,-0.32536715969596974
53,010533,010,-0.32536715969596974
54,010533,011,-0.32536715969596974
55,010537,010,-0.32536715969596974
56,010546,010,-0.32536715969596974
57,010565,020,-0.32536715969596974
58,010568,010,-0.32536715969596974
59,010571,010,-0.32536715969596974
60,010577,010,-0.32536715969596974
61,010577,011,-0.32536715969596974
62,010592,010,-0.32536715969596974
63,010600,010,-0.32536715969596974
64,010611,010,-0.32536715969596974
65,010645,030,-0.32536715969596974
66,010645,031,-0.32536715969596974
