,HHID,PN,value
0,1,10,-1.0
1,2,10,-1.0
2,3,10,-1.0
3,3,20,-1.0
4,10001,10,1.0
5,10003,20,-1.0
6,10003,30,-1.0
7,10004,10,-1.0
8,10004,40,-1.0
9,10013,10,-1.0
10,10013,40,-1.0
11,10038,10,-1.0
12,10038,40,-1.0
13,10050,10,-1.0
14,10059,20,-1.0
15,10059,30,-1.0
16,10063,10,-1.0
17,10075,20,-1.0
18,10083,20,-1.0
19,10090,10,-1.0
20,10094,10,-1.0
21,10097,10,-1.0
22,10097,40,-1.0
23,10099,10,-1.0
24,10106,10,-1.0
25,10109,20,-1.0
26,10109,30,-1.0
27,10114,10,1.0
28,10124,10,-1.0
29,10147,10,-1.0
30,10155,10,-1.0
31,10196,10,-1.0
32,10206,10,-1.0
33,10210,10,-1.0
34,10210,20,-1.0
35,10217,10,-1.0
36,10225,10,1.0
37,10237,20,-1.0
38,10237,30,-1.0
39,10240,10,-1.0
40,10257,10,-1.0
41,10281,10,-1.0
42,10281,20,-1.0
43,10299,10,-1.0
44,10325,20,-1.0
45,10346,10,1.0
46,10372,10,1.0
47,10378,10,-1.0
48,10394,10,-1.0
49,10394,40,-1.0
50,10395,10,-1.0
51,10395,20,-1.0
52,10397,10,-1.0
53,10397,40,-1.0
54,10404,10,-1.0
55,10405,10,-1.0
56,10405,40,-1.0
57,10410,10,-1.0
58,10414,20,-1.0
59,10414,30,-1.0
60,10417,10,-1.0
61,10417,40,-1.0
62,10433,10,-1.0
63,10433,40,-1.0
64,10451,10,-1.0
65,10451,20,-1.0
66,10453,10,-1.0
67,10453,20,-1.0
68,10458,20,-1.0
69,10458,30,-1.0
70,10460,10,-1.0
71,10465,10,-1.0
72,10465,20,-1.0
73,10468,10,-1.0
74,10475,10,-1.0
75,10477,10,-1.0
76,10477,20,-1.0
77,10481,10,-1.0
78,10481,20,-1.0
79,10482,10,-1.0
80,10533,10,-1.0
81,10533,20,-1.0
82,10537,10,-1.0
83,10546,10,-1.0
84,10556,10,-1.0
85,10565,20,-1.0
86,10565,30,-1.0
87,10567,10,-1.0
88,10568,10,-1.0
89,10571,10,-1.0
90,10571,20,-1.0
91,10577,10,-1.0
92,10592,10,1.0
93,10600,10,-1.0
94,10602,10,1.0
95,10611,10,1.0
96,10644,10,-1.0
97,10644,40,-1.0
98,10645,20,-1.0
99,10645,30,-1.0
100,10646,20,-1.0
101,10648,10,-1.0
102,10648,20,-1.0
103,10652,10,-1.0
104,10671,10,-1.0
105,10672,30,-1.0
106,10677,10,-1.0
107,10689,20,-1.0
108,10696,10,-1.0
109,10707,10,-1.0
110,10707,20,-1.0
111,10708,20,-1.0
112,10708,30,-1.0
113,10719,20,-1.0
114,10719,30,-1.0
115,10740,10,-1.0
116,10751,10,-1.0
117,10752,10,-1.0
118,10756,10,-1.0
119,10766,10,-1.0
120,10769,10,-1.0
121,10769,40,-1.0
122,10773,20,-1.0
123,10773,30,-1.0
124,10775,20,-1.0
125,10775,30,-1.0
126,10776,10,-1.0
127,10781,10,-1.0
128,10818,10,-1.0
129,10818,40,-1.0
130,10821,30,-1.0
131,10822,10,-1.0
132,10822,40,-1.0
133,10853,10,-1.0
134,10893,10,-1.0
135,10896,10,-1.0
136,10902,10,-1.0
137,10917,10,-1.0
138,10923,20,-1.0
139,10923,30,-1.0
140,10926,10,-1.0
141,10926,40,-1.0
142,10929,40,-1.0
143,10941,10,-1.0
144,10951,10,-1.0
145,10956,10,-1.0
146,10956,40,-1.0
147,10962,10,-1.0
148,10962,40,-1.0
149,10989,10,-1.0
150,10989,20,-1.0
151,10990,10,-1.0
152,10990,40,-1.0
153,10994,10,-1.0
154,11010,10,-1.0
155,11067,20,-1.0
156,11067,30,-1.0
157,11071,10,-1.0
158,11071,20,-1.0
159,11074,20,-1.0
160,11074,30,-1.0
161,11141,10,-1.0
162,11141,20,-1.0
163,11147,10,-1.0
164,11155,10,-1.0
165,11179,20,-1.0
166,11186,10,1.0
167,11212,10,-1.0
168,11214,10,-1.0
169,11218,10,-1.0
170,11219,10,-1.0
171,11219,20,-1.0
172,11230,10,-1.0
173,11241,10,-1.0
174,11241,40,-1.0
175,11248,10,-1.0
176,11253,10,-1.0
177,11256,10,-1.0
178,11256,40,-1.0
179,11264,10,-1.0
180,11264,20,-1.0
181,11277,10,-1.0
182,11323,10,-1.0
183,11332,10,-1.0
184,11332,20,-1.0
185,11333,20,-1.0
186,11333,30,-1.0
187,11341,10,-1.0
188,11341,20,-1.0
189,11345,10,-1.0
190,11345,20,-1.0
191,11347,20,-1.0
192,11347,30,-1.0
193,11368,10,-1.0
194,11368,20,-1.0
195,11377,10,-1.0
196,11377,40,-1.0
197,11378,10,-1.0
198,11378,20,-1.0
199,11379,10,-1.0
200,11379,20,-1.0
201,11380,10,-1.0
202,11380,40,-1.0
203,11387,20,-1.0
204,11387,30,-1.0
205,11423,10,-1.0
206,11466,10,-1.0
207,11466,40,-1.0
208,11467,10,1.0
209,11469,30,1.0
210,11477,10,-1.0
211,11478,10,1.0
212,11479,10,-1.0
213,11479,40,-1.0
214,11505,10,-1.0
215,11506,10,-1.0
216,11522,10,-1.0
217,11524,10,-1.0
218,11524,20,-1.0
219,11542,10,-1.0
220,11542,40,-1.0
221,11549,20,-1.0
222,11549,30,-1.0
223,11554,30,-1.0
224,11563,10,-1.0
225,11570,10,-1.0
226,11575,10,-1.0
227,11575,20,-1.0
228,11582,10,-1.0
229,11582,20,-1.0
230,11590,20,-1.0
231,11590,30,-1.0
232,11591,10,-1.0
233,11591,20,-1.0
234,11603,10,-1.0
235,11603,20,-1.0
236,11608,10,-1.0
237,11608,40,-1.0
238,11611,10,-1.0
239,11611,40,-1.0
240,11612,10,-1.0
241,11612,40,-1.0
