,HHID,PN,V47_x,V47_y,W103,E374,F686,G757,HX060_R,JX060_R,KX060_R,LX060_R
0,000001,010,1.0,1.0,1.0,,,,,,,
1,000002,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
2,000003,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,000003,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,010001,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,010003,020,1.0,1.0,1.0,1.0,1.0,,,,,
6,010003,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,010004,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,010004,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,010013,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,010013,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,010038,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,010038,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,010050,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,010059,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,010059,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,010063,010,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,
17,010075,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,010083,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,010090,010,-1.0,-1.0,-1.0,,,,,,,
20,010094,010,-1.0,-1.0,-1.0,,,,,,,
21,010097,010,1.0,1.0,1.0,,,,,,,
22,010097,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,010099,010,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,,
24,010106,010,1.0,1.0,1.0,1.0,1.0,,1.0,,,
25,010109,020,-1.0,-1.0,-1.0,,,,,,,
26,010109,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,010114,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
28,010124,010,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,,
29,010147,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,010155,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
31,010196,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,010206,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,010210,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,010210,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,010217,010,-1.0,-1.0,-1.0,,,,,,,
36,010225,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,010237,020,1.0,1.0,1.0,,,,,,,
38,010237,030,-1.0,-1.0,-1.0,,,,,,,
39,010240,010,1.0,1.0,1.0,,,,1.0,,,
40,010257,010,-1.0,-1.0,-1.0,,,,,,,
41,010281,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
42,010281,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
43,010299,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,010325,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
45,010346,010,1.0,1.0,1.0,,,,,,,
46,010372,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,010378,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
48,010394,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,010394,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,010395,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,010395,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,010397,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,010397,040,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,010404,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,010405,010,1.0,1.0,1.0,,,,,,,
56,010405,040,-1.0,-1.0,-1.0,,,-1.0,,,,
57,010410,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
58,010414,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
59,010414,030,1.0,1.0,1.0,1.0,1.0,1.0,,,,
60,010417,010,-1.0,-1.0,,,,,,,,
61,010417,040,1.0,1.0,,,,,,,,
62,010433,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,010433,040,1.0,1.0,1.0,1.0,,,,,,
64,010451,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
65,010451,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,010453,010,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0
67,010453,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,010458,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
69,010458,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
70,010460,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
71,010465,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,
72,010465,020,1.0,1.0,1.0,1.0,1.0,1.0,,,,
73,010468,010,-1.0,-1.0,-1.0,-1.0,,,,,,
74,010475,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,010477,010,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
76,010477,020,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0
77,010481,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,010481,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,010482,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,010533,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,010533,020,1.0,1.0,1.0,1.0,,,,,,
82,010537,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0
83,010546,010,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,
84,010556,010,-1.0,-1.0,-1.0,,,,,,,
85,010565,020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,010565,030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
87,010567,010,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
88,010568,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,010571,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,010571,020,1.0,1.0,1.0,1.0,1.0,1.0,,,,
91,010577,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
92,010592,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93,010600,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
94,010602,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
95,010611,010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
96,010644,010,1.0,1.0,1.0,1.0,,,,,,
97,010644,040,-1.0,-1.0,-1.0,,,,,,,
98,010645,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
99,010645,030,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,
100,010646,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
101,010648,010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,010648,020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,010652,010,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0
104,010671,010,1.0,1.0,1.0,1.0,1.0,1.0,,,,
105,010672,030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
