,HHID,PN,V207
0,000001,010,3.0
1,000002,010,0.0
2,000003,010,1.0
3,000003,020,3.0
4,010001,010,1.0
5,010003,020,3.0
6,010003,030,3.0
7,010004,010,3.0
8,010004,040,1.0
9,010013,010,1.0
10,010013,040,2.0
11,010038,010,3.0
12,010038,040,3.0
13,010050,010,3.0
14,010059,020,3.0
15,010059,030,3.0
16,010063,010,0.0
17,010075,020,0.0
18,010083,020,0.0
19,010090,010,1.0
20,010094,010,1.0
21,010097,010,1.0
22,010097,040,0.0
23,010099,010,1.0
24,010106,010,3.0
25,010109,020,3.0
26,010109,030,3.0
27,010114,010,1.0
28,010124,010,3.0
29,010147,010,0.0
30,010155,010,0.0
31,010196,010,1.0
32,010206,010,1.0
33,010210,010,0.0
34,010210,020,0.0
35,010217,010,0.0
36,010225,010,0.0
37,010237,020,2.0
38,010237,030,3.0
39,010240,010,0.0
40,010257,010,0.0
41,010281,010,1.0
42,010281,020,0.0
43,010299,010,3.0
44,010325,020,2.0
45,010346,010,0.0
46,010372,010,0.0
47,010378,010,3.0
48,010394,010,3.0
49,010394,040,3.0
50,010395,010,3.0
51,010395,020,2.0
52,010397,010,3.0
53,010397,040,3.0
54,010404,010,1.0
55,010405,010,3.0
56,010405,040,1.0
57,010410,010,0.0
58,010414,020,0.0
59,010414,030,0.0
60,010417,010,0.0
61,010417,040,0.0
62,010433,010,1.0
63,010433,040,1.0
64,010451,010,3.0
65,010451,020,3.0
66,010453,010,1.0
67,010453,020,1.0
68,010458,020,2.0
69,010458,030,3.0
70,010460,010,1.0
71,010465,010,1.0
72,010465,020,2.0
73,010468,010,2.0
74,010475,010,3.0
75,010477,010,3.0
76,010477,020,1.0
77,010481,010,3.0
78,010481,020,3.0
79,010482,010,2.0
80,010533,010,3.0
81,010533,020,2.0
82,010537,010,1.0
83,010546,010,1.0
84,010556,010,1.0
85,010565,020,1.0
86,010565,030,2.0
87,010567,010,1.0
88,010568,010,2.0
89,010571,010,0.0
90,010571,020,1.0
91,010577,010,3.0
92,010592,010,1.0
93,010600,010,1.0
94,010602,010,1.0
95,010611,010,0.0
96,010644,010,1.0
97,010644,040,1.0
98,010645,020,0.0
99,010645,030,1.0
100,010646,020,1.0
101,010648,010,1.0
102,010648,020,1.0
103,010652,010,2.0
104,010671,010,2.0
105,010672,030,2.0
106,010677,010,0.0
107,010689,020,0.0
108,010696,010,3.0
109,010707,010,0.0
110,010707,020,0.0
111,010708,020,1.0
112,010708,030,1.0
113,010719,020,0.0
114,010719,030,0.0
115,010740,010,2.0
116,010751,010,1.0
117,010752,010,0.0
118,010756,010,0.0
119,010766,010,0.0
120,010769,010,3.0
121,010769,040,1.0
122,010773,020,0.0
123,010773,030,3.0
124,010775,020,2.0
125,010775,030,3.0
126,010776,010,3.0
127,010781,010,3.0
128,010818,010,2.0
129,010818,040,2.0
130,010821,030,2.0
131,010822,010,1.0
132,010822,040,2.0
133,010853,010,2.0
134,010893,010,3.0
135,010896,010,3.0
136,010902,010,2.0
137,010917,010,3.0
138,010923,020,3.0
139,010923,030,2.0
140,010926,010,2.0
141,010926,040,3.0
142,010929,040,2.0
143,010941,010,1.0
144,010951,010,3.0
145,010956,010,0.0
146,010956,040,0.0
147,010962,010,2.0
148,010962,040,2.0
149,010989,010,0.0
150,010989,020,3.0
151,010990,010,0.0
152,010990,040,1.0
153,010994,010,0.0
154,011010,010,1.0
155,011067,020,2.0
156,011067,030,1.0
157,011071,010,2.0
158,011071,020,1.0
159,011074,020,1.0
160,011074,030,3.0
161,011141,010,3.0
162,011141,020,3.0
163,011147,010,3.0
164,011155,010,2.0
165,011179,020,0.0
166,011186,010,1.0
167,011212,010,3.0
168,011214,010,3.0
169,011218,010,0.0
170,011219,010,2.0
171,011219,020,2.0
172,011230,010,0.0
173,011241,010,1.0
174,011241,040,1.0
175,011248,010,1.0
176,011253,010,0.0
177,011256,010,2.0
178,011256,040,0.0
179,011264,010,0.0
180,011264,020,
181,011277,010,0.0
182,011323,010,0.0
183,011332,010,1.0
184,011332,020,0.0
185,011333,020,3.0
186,011333,030,1.0
187,011341,010,1.0
188,011341,020,2.0
189,011345,010,1.0
190,011345,020,2.0
191,011347,020,2.0
192,011347,030,3.0
193,011368,010,2.0
194,011368,020,1.0
195,011377,010,2.0
196,011377,040,1.0
197,011378,010,1.0
198,011378,020,0.0
199,011379,010,2.0
200,011379,020,3.0
201,011380,010,0.0
202,011380,040,0.0
203,011387,020,0.0
204,011387,030,2.0
205,011423,010,1.0
206,011466,010,0.0
207,011466,040,0.0
208,011467,010,0.0
209,011469,030,0.0
210,011477,010,0.0
211,011478,010,0.0
212,011479,010,2.0
213,011479,040,0.0
214,011505,010,0.0
215,011506,010,2.0
216,011522,010,2.0
217,011524,010,1.0
218,011524,020,0.0
219,011542,010,0.0
220,011542,040,1.0
221,011549,020,1.0
222,011549,030,0.0
223,011554,030,0.0
224,011563,010,0.0
225,011570,010,1.0
226,011575,010,2.0
227,011575,020,2.0
228,011582,010,1.0
229,011582,020,1.0
230,011590,020,1.0
231,011590,030,2.0
232,011591,010,3.0
233,011591,020,2.0
234,011603,010,3.0
235,011603,020,3.0
236,011608,010,1.0
237,011608,040,0.0
238,011611,010,3.0
239,011611,040,2.0
240,011612,010,0.0
241,011612,040,0.0
242,011620,010,2.0
243,011620,040,3.0
244,011626,010,0.0
245,011656,010,3.0
246,011667,020,0.0
247,011667,030,0.0
248,011671,010,3.0
249,011671,040,3.0
250,011678,010,2.0
251,011678,040,1.0
252,011690,010,1.0
253,011694,010,1.0
254,011716,010,0.0
255,011765,010,1.0
256,011787,010,2.0
257,011787,040,0.0
258,011793,010,0.0
259,011793,040,1.0
260,011798,010,0.0
261,011802,010,2.0
262,011802,020,1.0
263,011810,010,1.0
264,011810,020,1.0
265,011818,010,1.0
266,011825,010,0.0
267,011826,010,2.0
268,011828,010,3.0
269,011830,010,1.0
270,011830,040,2.0
271,011835,010,1.0
272,011835,020,2.0
273,011841,010,0.0
274,011841,040,1.0
275,011854,010,0.0
276,011854,020,0.0
277,011856,010,0.0
278,011859,010,0.0
279,011862,020,0.0
280,011862,030,0.0
281,011863,010,0.0
282,011876,010,1.0
283,011876,040,1.0
284,011878,010,1.0
285,011878,040,1.0
286,011881,010,3.0
287,011893,010,1.0
288,011902,020,0.0
289,011902,030,0.0
290,011907,010,3.0
291,011907,020,2.0
292,011911,010,2.0
293,011911,040,1.0
294,011927,010,1.0
295,011929,020,2.0
296,011930,010,1.0
297,011930,040,1.0
298,011932,020,2.0
299,011932,030,2.0
300,011933,010,1.0
301,011933,040,1.0
302,011936,010,2.0
303,011936,020,3.0
304,011937,010,0.0
305,011948,030,0.0
306,011956,010,0.0
307,011956,040,0.0
308,011959,010,1.0
309,011959,020,1.0
310,011983,010,3.0
311,011983,040,3.0
312,011989,010,0.0
313,011993,010,3.0
314,011993,020,1.0
315,011999,010,1.0
316,011999,020,0.0
317,012005,010,3.0
318,012005,040,3.0
319,012007,010,3.0
320,012009,010,3.0
321,012009,040,3.0
322,012010,010,3.0
323,012010,020,3.0
324,012023,010,3.0
325,012025,010,1.0
326,012033,010,1.0
327,012045,010,1.0
328,012045,020,1.0
329,012052,010,0.0
330,012054,010,0.0
331,012054,020,0.0
332,012068,010,1.0
333,012068,020,1.0
334,012094,010,2.0
335,012094,040,1.0
336,012104,010,1.0
337,012104,020,1.0
338,012106,010,0.0
339,012108,010,0.0
340,012112,020,0.0
341,012112,030,1.0
342,012118,020,1.0
343,012118,030,2.0
344,012124,020,0.0
345,012124,030,0.0
346,012135,020,3.0
347,012135,030,3.0
348,012139,010,3.0
349,012139,040,3.0
350,012140,010,2.0
351,012145,010,3.0
352,012145,020,1.0
353,012156,010,2.0
354,012156,040,2.0
355,012161,010,2.0
356,012161,020,3.0
357,012162,010,2.0
358,012166,010,0.0
359,012166,040,1.0
360,012172,010,0.0
361,012172,020,0.0
362,012174,010,0.0
363,012174,040,0.0
364,012178,010,0.0
365,012179,010,0.0
366,012183,010,1.0
367,012195,010,2.0
368,012196,010,0.0
369,012196,020,1.0
370,012218,010,1.0
371,012218,020,1.0
372,012223,020,1.0
373,012223,030,3.0
374,012232,010,1.0
375,012232,040,1.0
376,012235,010,1.0
377,012235,040,1.0
378,012242,010,2.0
379,012242,020,1.0
380,012243,020,1.0
381,012243,030,1.0
382,012252,010,2.0
383,012252,020,1.0
384,012257,010,0.0
385,012257,040,1.0
386,012273,010,1.0
387,012273,040,3.0
388,012274,010,3.0
389,012274,020,3.0
390,012276,020,2.0
391,012276,030,1.0
392,012278,030,3.0
393,012280,020,3.0
394,012280,030,3.0
395,012285,010,3.0
396,012292,010,2.0
397,012292,020,2.0
398,012302,010,2.0
399,012306,010,0.0
400,012310,010,1.0
401,012315,010,0.0
402,012315,040,1.0
403,012318,010,0.0
404,012319,010,1.0
405,012323,010,1.0
406,012332,030,1.0
407,012344,010,3.0
408,012344,020,3.0
409,012345,020,1.0
410,012345,030,3.0
411,012393,020,2.0
412,012393,030,2.0
413,012394,010,0.0
414,012398,010,0.0
415,012401,010,2.0
416,012401,040,3.0
417,012405,010,1.0
418,012417,010,2.0
419,012418,020,1.0
420,012418,030,1.0
421,012424,010,1.0
422,012443,010,1.0
423,012443,040,2.0
424,012445,010,2.0
425,012445,040,1.0
426,012455,010,2.0
427,012458,010,1.0
428,012458,020,2.0
429,012474,010,2.0
430,012474,040,1.0
431,012479,010,3.0
432,012481,010,2.0
433,012483,010,1.0
434,012484,010,0.0
435,012484,020,1.0
436,012488,010,0.0
437,012494,010,1.0
438,012494,040,2.0
439,012496,010,3.0
440,012502,010,1.0
441,012502,020,1.0
442,012507,010,3.0
443,012510,010,3.0
444,012510,020,3.0
445,012512,010,3.0
446,012512,020,3.0
447,012513,010,0.0
448,012513,020,2.0
449,012514,010,3.0
450,012514,040,3.0
451,012516,010,1.0
452,012516,040,1.0
453,012517,010,3.0
454,012517,040,3.0
455,012520,010,2.0
456,012520,040,0.0
457,012529,020,3.0
458,012529,030,3.0
459,012532,010,1.0
460,012543,010,3.0
461,012549,010,2.0
462,012549,040,3.0
463,012552,010,3.0
464,012552,020,3.0
