HHID,value_06,value_08
3,3,2
10001,3,3
10003,5,5
10004,1,2
10013,3,2
10013,3,3
10013,4,2
10013,4,3
10038,1,2
10050,2,2
10059,1,1
10063,4,
10075,1,1
10083,4,3
10097,2,2
10109,2,2
10147,3,3
10196,5,4
10206,5,4
10210,3,3
10225,1,3
10281,1,
10299,1,1
10299,1,2
10372,3,3
10394,1,1
10395,1,1
10397,2,2
10404,1,1
10433,1,1
10451,1,2
10453,1,1
10458,3,
10465,1,
10475,1,1
10477,1,1
10481,2,1
10482,3,2
10533,4,4
10537,3,3
10546,4,
10565,1,3
10568,2,1
10571,2,1
10577,3,1
10577,3,1
10592,4,3
10600,3,
10611,4,
10645,4,2
10648,3,4
10652,2,1
10672,2,5
10672,3,5
10707,2,2
10719,4,2
10719,2,2
10740,2,
10756,3,3
10769,2,2
10773,2,2
10775,3,3
10776,1,
10818,1,1
10822,2,1
10893,2,2
10896,1,1
10902,3,2
10917,2,3
10941,1,1
10962,1,2
10989,1,1
10994,1,1
11010,4,4
11067,1,2
11071,2,3
11074,2,2
11141,2,2
11179,1,1
11186,4,4
11212,2,2
11219,1,
11230,4,4
11248,4,4
11253,3,3
11256,4,3
11277,3,4
11323,4,
11332,1,1
11333,1,1
11341,3,1
11345,3,3
11347,1,1
11368,1,1
11377,1,2
11378,1,1
11379,1,2
11387,2,2
11423,5,5
11466,5,4
11467,5,5
11477,4,4
11477,5,4
11479,3,2
11506,3,3
11563,3,2
11575,3,3
11582,1,2
11590,1,2
11608,1,2
11611,2,2
11612,,
11620,1,1
11626,3,1
11656,2,2
11667,3,3
11671,1,
11678,2,2
11678,2,3
11678,2,2
11678,2,3
11690,4,1
11694,4,4
11716,5,5
11765,4,4
11787,3,3
11793,4,2
11798,4,
11802,1,1
11825,3,2
11841,1,1
11854,1,2
11856,3,1
11859,4,5
11862,4,3
11862,4,5
11862,2,3
11862,2,5
11876,2,4
11881,1,1
11902,2,2
11907,1,
11911,1,1
11932,1,2
11933,2,1
11936,2,2
11937,4,4
11948,4,4
11983,4,3
11993,1,1
11999,1,1
12005,1,2
12009,1,2
12010,1,1
12033,1,1
12033,1,2
12033,2,1
12033,2,2
12045,1,2
12094,4,1
12104,5,5
12106,4,
12108,4,
12112,2,3
12118,1,1
12124,3,4
12135,2,1
12145,1,2
12161,4,4
12162,3,3
12166,2,2
12172,3,3
12174,3,
12178,5,3
12179,4,4
12183,,5
12195,4,1
12196,4,4
12218,2,2
12223,1,2
12232,3,2
12235,2,1
12242,2,2
12243,1,2
12252,1,2
12273,1,1
12274,1,1
12276,1,2
12280,1,1
12285,3,1
12292,3,2
12302,2,3
12310,3,2
12315,1,1
12318,1,1
12319,2,2
12344,1,1
12393,2,3
12394,2,3
12401,1,1
12417,,
12418,4,
12443,3,2
12445,3,3
12455,2,2
12458,3,2
12474,2,2
12479,3,3
