,HHID,PN,F995_x,F995_y,G1082,HB022,JB022,KB022,LB022
0,000002,010,-1.0,-1.0,,,,,
1,000003,010,-1.0,-1.0,,,,,
2,000003,020,1.0,1.0,,,,,
3,010001,010,-1.0,-1.0,,,,,
4,010003,020,-1.0,-1.0,,,,,
5,010003,030,-1.0,-1.0,,,,,
6,010004,010,-1.0,-1.0,,,,,
7,010004,040,-1.0,-1.0,,,,,
8,010013,010,-1.0,-1.0,,,,,
9,010013,040,-1.0,-1.0,,,,,
10,010038,010,-1.0,-1.0,,,,,
11,010038,040,-1.0,-1.0,,,,,
12,010050,010,-1.0,-1.0,,,,,
13,010059,020,-1.0,-1.0,,,,,
14,010059,030,-1.0,-1.0,,,,,
15,010075,020,-1.0,-1.0,,,,,
16,010075,030,-1.0,-1.0,,,,,
17,010083,010,-1.0,-1.0,,,,,
18,010083,020,1.0,1.0,,,,,
19,010097,040,-1.0,-1.0,,,,,
20,010099,010,-1.0,-1.0,,,,,
21,010106,010,-1.0,-1.0,,,,,
22,010109,030,1.0,1.0,,,,,
23,010114,010,1.0,1.0,,,,,
24,010124,010,1.0,1.0,,,,,
25,010147,010,-1.0,-1.0,,,,,
26,010155,010,-1.0,-1.0,,,,,
27,010196,010,1.0,1.0,,,,,
28,010206,010,-1.0,-1.0,,,,,
29,010210,010,-1.0,-1.0,,,,,
30,010210,020,-1.0,-1.0,,,,,
31,010225,010,-1.0,-1.0,,,,,
32,010281,010,-1.0,-1.0,,,,,
33,010281,020,-1.0,-1.0,,,,,
34,010299,010,-1.0,-1.0,,,,,
35,010299,011,-1.0,-1.0,,,,,
36,010325,010,-1.0,-1.0,,,,,
37,010325,020,1.0,1.0,,,,,
38,010372,010,1.0,1.0,,,,,
39,010378,010,-1.0,-1.0,,,,,
40,010394,010,-1.0,-1.0,,,,,
41,010394,040,-1.0,-1.0,,,,,
42,010395,010,-1.0,-1.0,,,,,
43,010395,020,-1.0,-1.0,,,,,
44,010397,010,-1.0,-1.0,,,,,
45,010397,040,-1.0,-1.0,,,,,
46,010404,010,-1.0,-1.0,,,,,
47,010410,010,-1.0,-1.0,,,,,
48,010414,020,-1.0,-1.0,,,,,
49,010414,030,-1.0,-1.0,,,,,
50,010433,010,-1.0,-1.0,,,,,
51,010451,010,-1.0,-1.0,,,,,
52,010451,020,1.0,1.0,,,,,
53,010453,020,-1.0,-1.0,,,,,
54,010458,020,-1.0,-1.0,,,,,
55,010458,030,-1.0,-1.0,,,,,
56,010460,010,-1.0,-1.0,,,,,
57,010465,010,-1.0,-1.0,,,,,
58,010465,020,-1.0,-1.0,,,,,
59,010475,010,-1.0,-1.0,,,,,
60,010481,010,-1.0,-1.0,,,,,
61,010481,020,1.0,1.0,,,,,
62,010482,010,-1.0,-1.0,,,,,
63,010533,010,1.0,1.0,,,,,
64,010537,010,-1.0,-1.0,,,,,
65,010565,020,-1.0,-1.0,,,,,
66,010565,030,-1.0,-1.0,,,,,
67,010567,010,-1.0,-1.0,,,,,
68,010568,010,-1.0,-1.0,,,,,
69,010571,010,-1.0,-1.0,,,,,
70,010571,020,-1.0,-1.0,,,,,
71,010577,010,-1.0,-1.0,,,,,
72,010592,010,-1.0,-1.0,,,,,
73,010600,010,-1.0,-1.0,,,,,
74,010602,010,-1.0,-1.0,,,,,
75,010611,010,-1.0,-1.0,,,,,
76,010645,020,-1.0,-1.0,,,,,
77,010645,030,-1.0,-1.0,,,,,
78,010646,020,-1.0,-1.0,,,,,
79,010648,010,1.0,1.0,,,,,
80,010648,020,1.0,1.0,,,,,
81,010652,010,-1.0,-1.0,,,,,
82,010671,010,-1.0,-1.0,,,,,
83,010672,030,-1.0,-1.0,,,,,
84,010677,010,1.0,1.0,,,,,
85,010689,010,-1.0,-1.0,,,,,
86,010689,020,-1.0,-1.0,,,,,
87,010696,010,-1.0,-1.0,,,,,
88,010707,010,-1.0,-1.0,,,,,
89,010707,020,-1.0,-1.0,,,,,
90,010719,020,-1.0,-1.0,,,,,
91,010719,030,1.0,1.0,,,,,
92,010740,010,-1.0,-1.0,,,,,
93,010766,010,-1.0,-1.0,,,,,
94,010769,010,-1.0,-1.0,,,,,
95,010769,040,-1.0,-1.0,,,,,
96,010773,020,-1.0,-1.0,,,,,
97,010773,030,1.0,1.0,,,,,
98,010775,020,-1.0,-1.0,,,,,
99,010775,030,-1.0,-1.0,,,,,
100,010776,010,1.0,1.0,,,,,
101,010781,010,-1.0,-1.0,,,,,
102,010781,040,-1.0,-1.0,,,,,
103,010818,010,-1.0,-1.0,,,,,
104,010818,040,-1.0,-1.0,,,,,
105,010822,010,-1.0,-1.0,,,,,
106,010822,040,-1.0,-1.0,,,,,
107,010893,010,1.0,1.0,,,,,
108,010896,010,-1.0,-1.0,,,,,
109,010902,010,1.0,1.0,,,,,
110,010917,010,1.0,1.0,,,,,
111,010923,020,,,,,,,
112,010923,030,1.0,1.0,,,,,
113,010929,040,-1.0,-1.0,,,,,
114,010941,010,-1.0,-1.0,,,,,
115,010956,010,-1.0,-1.0,,,,,
116,010962,010,1.0,1.0,,,,,
117,010989,010,-1.0,-1.0,,,,,
118,010989,020,1.0,1.0,,,,,
119,010994,010,-1.0,-1.0,,,,,
120,011010,010,-1.0,-1.0,,,,,
121,011067,020,-1.0,-1.0,,,,,
122,011067,030,1.0,1.0,,,,,
123,011071,010,1.0,1.0,,,,,
124,011071,020,-1.0,-1.0,,,,,
125,011074,020,-1.0,-1.0,,,,,
126,011141,010,1.0,1.0,,,,,
127,011141,020,-1.0,-1.0,,,,,
128,011179,010,1.0,1.0,,,,,
129,011186,010,-1.0,-1.0,,,,,
130,011212,010,-1.0,-1.0,,,,,
131,011218,010,-1.0,-1.0,,,,,
132,011219,010,-1.0,-1.0,,,,,
133,011230,010,-1.0,-1.0,,,,,
134,011248,010,-1.0,-1.0,,,,,
135,011253,010,-1.0,-1.0,,,,,
136,011256,010,-1.0,-1.0,,,,,
137,011256,040,-1.0,-1.0,,,,,
138,011277,010,-1.0,-1.0,,,,,
139,011332,010,1.0,1.0,,,,,
140,011332,020,-1.0,-1.0,,,,,
141,011333,020,-1.0,-1.0,,,,,
142,011333,030,-1.0,-1.0,,,,,
143,011341,010,-1.0,-1.0,,,,,
144,011341,020,-1.0,-1.0,,,,,
145,011347,020,-1.0,-1.0,,,,,
146,011347,030,-1.0,-1.0,,,,,
147,011368,010,-1.0,-1.0,,,,,
148,011368,020,-1.0,-1.0,,,,,
149,011377,010,1.0,1.0,,,,,
150,011377,040,-1.0,-1.0,,,,,
151,011378,010,-1.0,-1.0,,,,,
152,011378,020,-1.0,-1.0,,,,,
153,011379,010,-1.0,-1.0,,,,,
154,011379,020,-1.0,-1.0,,,,,
155,011387,020,-1.0,-1.0,,,,,
156,011387,030,-1.0,-1.0,,,,,
157,011423,010,-1.0,-1.0,,,,,
158,011466,040,-1.0,-1.0,,,,,
159,011467,010,-1.0,-1.0,,,,,
160,011477,010,-1.0,-1.0,,,,,
161,011477,011,-1.0,-1.0,,,,,
162,011479,010,-1.0,-1.0,,,,,
163,011479,040,-1.0,-1.0,,,,,
164,011505,010,-1.0,-1.0,,,,,
165,011506,010,-1.0,-1.0,,,,,
166,011522,010,-1.0,-1.0,,,,,
167,011542,010,-1.0,-1.0,,,,,
168,011542,040,-1.0,-1.0,,,,,
169,011549,020,-1.0,-1.0,,,,,
170,011563,010,-1.0,-1.0,,,,,
171,011575,010,1.0,1.0,,,,,
172,011575,020,-1.0,-1.0,,,,,
173,011582,010,-1.0,-1.0,,,,,
174,011582,020,-1.0,-1.0,,,,,
175,011590,020,-1.0,-1.0,,,,,
176,011591,010,1.0,1.0,,,,,
177,011591,020,-1.0,-1.0,,,,,
178,011608,010,-1.0,-1.0,,,,,
179,011608,040,-1.0,-1.0,,,,,
180,011612,010,1.0,1.0,,,,,
181,011612,040,-1.0,-1.0,,,,,
182,011620,010,-1.0,-1.0,,,,,
183,011620,040,-1.0,-1.0,,,,,
184,011626,011,1.0,1.0,,,,,
185,011656,010,-1.0,-1.0,,,,,
186,011667,020,1.0,1.0,,,,,
187,011667,030,-1.0,-1.0,,,,,
188,011671,010,1.0,1.0,,,,,
189,011671,040,-1.0,-1.0,,,,,
190,011678,010,-1.0,-1.0,,,,,
191,011678,040,-1.0,-1.0,,,,,
192,011690,010,-1.0,-1.0,,,,,
193,011694,010,-1.0,-1.0,,,,,
194,011694,020,-1.0,-1.0,,,,,
195,011716,010,-1.0,-1.0,,,,,
196,011765,010,-1.0,-1.0,,,,,
197,011787,010,-1.0,-1.0,,,,,
198,011787,040,-1.0,-1.0,,,,,
199,011793,010,-1.0,-1.0,,,,,
200,011793,040,,,,,,,
201,011798,010,-1.0,-1.0,,,,,
202,011802,010,-1.0,-1.0,,,,,
203,011802,020,-1.0,-1.0,,,,,
204,011810,010,-1.0,-1.0,,,,,
205,011825,010,-1.0,-1.0,,,,,
206,011825,040,-1.0,-1.0,,,,,
207,011826,010,1.0,1.0,,,,,
208,011826,011,-1.0,-1.0,,,,,
209,011828,010,-1.0,-1.0,,,,,
210,011835,010,-1.0,-1.0,,,,,
211,011835,020,-1.0,-1.0,,,,,
212,011841,010,-1.0,-1.0,,,,,
213,011854,010,-1.0,-1.0,,,,,
214,011854,020,-1.0,-1.0,,,,,
215,011856,010,-1.0,-1.0,,,,,
216,011859,010,-1.0,-1.0,,,,,
217,011862,020,-1.0,-1.0,,,,,
218,011862,030,-1.0,-1.0,,,,,
219,011876,010,-1.0,-1.0,,,,,
220,011876,040,-1.0,-1.0,,,,,
221,011878,040,-1.0,-1.0,,,,,
222,011881,010,-1.0,-1.0,,,,,
223,011902,020,-1.0,-1.0,,,,,
224,011902,030,1.0,1.0,,,,,
225,011907,010,-1.0,-1.0,,,,,
226,011907,020,-1.0,-1.0,,,,,
227,011911,010,-1.0,-1.0,,,,,
228,011911,040,-1.0,-1.0,,,,,
229,011932,020,1.0,1.0,,,,,
230,011932,030,-1.0,-1.0,,,,,
231,011933,010,-1.0,-1.0,,,,,
232,011933,040,-1.0,-1.0,,,,,
233,011936,010,1.0,1.0,,,,,
234,011936,020,-1.0,-1.0,,,,,
235,011983,010,,,,,,,
236,011983,040,-1.0,-1.0,,,,,
237,011993,010,-1.0,-1.0,,,,,
238,011993,020,1.0,1.0,,,,,
239,011999,010,1.0,1.0,,,,,
240,012005,010,-1.0,-1.0,,,,,
241,012005,040,-1.0,-1.0,,,,,
242,012009,010,-1.0,-1.0,,,,,
243,012009,040,-1.0,-1.0,,,,,
244,012010,010,-1.0,-1.0,,,,,
245,012010,020,-1.0,-1.0,,,,,
246,012023,010,-1.0,-1.0,,,,,
247,012033,010,-1.0,-1.0,,,,,
248,012033,011,-1.0,-1.0,,,,,
249,012045,010,-1.0,-1.0,,,,,
250,012054,010,1.0,1.0,,,,,
251,012094,010,-1.0,-1.0,,,,,
252,012104,010,-1.0,-1.0,,,,,
253,012106,010,1.0,1.0,,,,,
254,012108,010,-1.0,-1.0,,,,,
255,012112,020,,,,,,,
256,012112,030,-1.0,-1.0,,,,,
257,012124,020,-1.0,-1.0,,,,,
258,012124,030,1.0,1.0,,,,,
259,012135,020,1.0,1.0,,,,,
260,012135,030,-1.0,-1.0,,,,,
261,012139,010,-1.0,-1.0,,,,,
262,012139,040,-1.0,-1.0,,,,,
263,012145,010,-1.0,-1.0,,,,,
264,012145,020,-1.0,-1.0,,,,,
265,012161,010,-1.0,-1.0,,,,,
266,012161,020,-1.0,-1.0,,,,,
267,012162,010,-1.0,-1.0,,,,,
268,012166,010,-1.0,-1.0,,,,,
269,012172,010,-1.0,-1.0,,,,,
270,012172,020,-1.0,-1.0,,,,,
271,012174,010,-1.0,-1.0,,,,,
272,012174,040,-1.0,-1.0,,,,,
273,012178,010,-1.0,-1.0,,,,,
274,012179,010,-1.0,-1.0,,,,,
275,012183,010,-1.0,-1.0,,,,,
276,012195,010,-1.0,-1.0,,,,,
277,012196,010,-1.0,-1.0,,,,,
278,012196,020,-1.0,-1.0,,,,,
279,012218,010,-1.0,-1.0,,,,,
280,012218,020,-1.0,-1.0,,,,,
281,012223,020,-1.0,-1.0,,,,,
282,012232,010,-1.0,-1.0,,,,,
283,012232,040,-1.0,-1.0,,,,,
284,012235,010,1.0,1.0,,,,,
285,012235,040,-1.0,-1.0,,,,,
286,012242,010,1.0,1.0,,,,,
287,012242,020,-1.0,-1.0,,,,,
288,012243,020,-1.0,-1.0,,,,,
289,012243,030,1.0,1.0,,,,,
290,012252,010,-1.0,-1.0,,,,,
291,012252,020,-1.0,-1.0,,,,,
292,012257,010,-1.0,-1.0,,,,,
293,012257,040,-1.0,-1.0,,,,,
294,012273,010,-1.0,-1.0,,,,,
295,012273,040,-1.0,-1.0,,,,,
296,012274,010,-1.0,-1.0,,,,,
297,012274,020,-1.0,-1.0,,,,,
298,012276,020,-1.0,-1.0,,,,,
299,012276,030,-1.0,-1.0,,,,,
300,012280,020,-1.0,-1.0,,,,,
301,012280,030,-1.0,-1.0,,,,,
302,012285,010,1.0,1.0,,,,,
