model,var_num,train_subset_size,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,1,11952,0.5,0.521476262335533,0.0,0.0,0.4505628233760792,0.22180388219544847,0.001349650354853127,0.0011237014152729596,0.001349650354853127,0.02982709438391462,0.17545729386565115,0.0006869045293833959
lgb,2,11952,0.5054921104834547,0.5901211711847852,0.04429920116194626,0.029992501874531365,0.3019507336949172,0.22180388219544847,0.04623575689040671,0.01930030402980132,0.04623575689040671,0.04748137990230317,0.17226448859943833,0.009156374593379557
lgb,3,11952,0.5126276896505109,0.6492237818745301,0.13079584775086506,0.06967310904318778,0.33997461273644175,0.22180388219544847,0.14367307863691992,0.04511739475073484,0.14367307863691992,0.07255659888063959,0.16772959586067065,0.023055771336642533
lgb,4,11952,0.5195138111347039,0.6501015402298689,0.17896494156928214,0.10078594544613961,0.34461105436819633,0.22180388219544847,0.15281815496567774,0.04685151199416637,0.15281815496567774,0.07424088508016469,0.1674249900559185,0.023760849524416892
lgb,5,11952,0.6452449347614566,0.8069243025474008,0.5592121066538555,0.45094778849351513,0.5701126401306316,0.22180388219544847,0.35875751465745964,0.2356666811059771,0.35875751465745964,0.25763032129077856,0.13425872246093912,0.10017319257813433
lgb,6,11952,0.6458368622897532,0.8072410202848515,0.5723378212974297,0.4520917678812416,0.579619434127584,0.22180388219544847,0.37824742365472774,0.2397464961619823,0.37824742365472774,0.2615929000734256,0.1335420838639344,0.10118299535841656
lgb,7,11952,0.6510041916387923,0.8080301203215019,0.5814065510597303,0.4625210084033613,0.582305500463313,0.22180388219544847,0.38580796359090264,0.24169053293588227,0.38580796359090264,0.2634810736222738,0.13320060471180406,0.1016659343990126
lgb,8,11952,0.6556179580480004,0.8082036785958866,0.5988997847404928,0.4716447696657243,0.5850668219938495,0.22180388219544847,0.3992520770281598,0.24345434829557255,0.3992520770281598,0.2651942045423943,0.13289078229402482,0.10218984050378646
lgb,9,11952,0.657731759014624,0.8097232774924545,0.605050023820867,0.47579575596816975,0.5882053589999829,0.22180388219544847,0.4037270461641347,0.24571831583817594,0.4037270461641347,0.26739311543069955,0.1324931058059675,0.10342834874411876
lgb,10,11952,0.653519502916763,0.8094209684401377,0.6044508255563532,0.46753681392235613,0.5860409396106127,0.22180388219544847,0.40493669868826687,0.24487595426386932,0.40493669868826687,0.26657495969181355,0.13264107055645127,0.10312876086215937
lgb,11,11952,0.6532316806454341,0.8097891806315721,0.6019650131799665,0.46697955078779746,0.5878097666913421,0.22180388219544847,0.4097990052998758,0.24553234765284915,0.4097990052998758,0.2672124911682495,0.1325257719875445,0.1036475816111154
