model,var_num,train_subset_size,test_auc_score,test_f1_score,test_pr_auc,test_pr_no_skill,test_efron_r2,test_ffc_r2,test_briern_r2,test_imv_r2
sl,1,45533,0.7910759496241129,0.41634514205541917,0.5448875772204332,0.22733661278988054,0.21126204857248265,0.34659045833427593,0.1385455103126276,0.09021533156645103
sl,2,45533,0.7986708202727778,0.47654005745292055,0.562121895679996,0.22733661278988054,0.22676285354655779,0.3594316990216666,0.1358227214174021,0.09613592967820152
sl,3,45533,0.8019723518027686,0.4165931156222418,0.5640167895206136,0.22733661278988054,0.23085700618472815,0.3628233938094916,0.13510356435702925,0.0973440040661407
sl,4,45533,0.8896555363674041,0.4845783562132287,0.7726564898588462,0.22733661278988054,0.45552421031973334,0.5489431242161296,0.0956397191203949,0.16755078634156323
sl,5,45533,0.8932290269483021,0.6414371962892064,0.7787806660956877,0.22733661278988054,0.46518537323486764,0.5569466645819894,0.09394269066643478,0.17082322459650667
sl,6,45533,0.8995333245553593,0.5371200797209765,0.7902580151069015,0.22733661278988054,0.4776551419172256,0.5672769217030909,0.09175231747284,0.17549881387630353
sl,7,45533,0.9159907079990538,0.5378038558256496,0.8210812926877507,0.22733661278988054,0.5111694945412589,0.5950410197126508,0.08586536467858136,0.18840824559679092
sl,8,45533,0.9206995756349369,0.6261961722488038,0.8299767462089149,0.22733661278988054,0.5241814657555549,0.6058204504879963,0.08357975107422126,0.19222121447885582
sl,9,45533,0.9214300842568363,0.6530305309069033,0.834268994610197,0.22733661278988054,0.5315191120596681,0.6118991336549446,0.08229085918071338,0.19451436436318217
sl,10,45533,0.9256626159908915,0.6739333540952973,0.8427439219368105,0.22733661278988054,0.5425699714145684,0.6210539320680667,0.08034972404711581,0.19857389822735666
sl,11,45533,0.9255030466364234,0.6664572864321607,0.8405650031736414,0.22733661278988054,0.5398420671579336,0.6187940703905479,0.08082889318895237,0.19805369093075373
sl,12,45533,0.9208898171362141,0.6831212632224437,0.8388159607402672,0.22733661278988054,0.5352227360683612,0.6149673051073801,0.08164030030071807,0.194262783401288
sl,13,45533,0.9234686105818166,0.6669728984841525,0.8420765143099256,0.22733661278988054,0.5414647476694106,0.620138338061902,0.08054386176738829,0.19774380878222345
sl,14,45533,0.9281886264009128,0.680424704650815,0.8444736503636963,0.22733661278988054,0.5444870657678113,0.6226420992665833,0.080012977457191,0.20045265254450226
