model,train_subset_size,var_num,train_auc_score,test_auc_score,train_f1_score,test_f1_score,test_pr_auc,test_pr_no_skill,train_efron_r2,test_efron_r2,train_ffc_r2,test_ffc_r2,test_briern_r2,test_imv_r2
lgb,11952,2,0.5,0.5523590434257466,0.0,0.0,0.28810350488618647,0.22180388219544847,0.006642068674591828,0.007384900120071758,0.006642068674591828,0.035908373265675086,0.1743574850278044,0.003886504483863874
lgb,11952,3,0.5241422205166086,0.6319530496313993,0.1904761904761905,0.12215460897002478,0.3336577332560283,0.22180388219544847,0.11166016890486163,0.0344392667627329,0.11166016890486163,0.06218531419670181,0.1696052589863054,0.01690310403671551
lgb,11952,4,0.502521812757848,0.584716547582203,0.04163623082542002,0.021950611124968825,0.2788878400565314,0.22180388219544847,0.06157150884819784,0.006445551063750221,0.06157150884819784,0.03499601704634103,0.17452248608314122,0.003164558882977782
lgb,11952,5,0.5554607276643709,0.7062898186356544,0.3372711163614885,0.23103518405531828,0.41385668465722697,0.22180388219544847,0.22436651931026053,0.09628399296115131,0.22436651931026053,0.12225288992951566,0.15874194356475502,0.046393335335689866
lgb,11952,6,0.5251721486442129,0.6429911957857603,0.2695984703632887,0.12875918912898196,0.3482583792910322,0.22180388219544847,0.1985127037082064,0.043568154941770576,0.1985127037082064,0.07105187753617626,0.16800172707933603,0.021331256526524796
lgb,11952,7,0.5125063286927997,0.6667846792646213,0.16888888888888887,0.07042588627171069,0.3532062973318225,0.22180388219544847,0.19306618897866523,0.05823614672628796,0.19306618897866523,0.08529837455417622,0.16542522571615273,0.028884110320685337
lgb,11952,8,0.5572567175515826,0.7143970566609633,0.3458382180539273,0.23447712418300656,0.4188534209058149,0.22180388219544847,0.22110851868800896,0.10403289888314737,0.22110851868800896,0.1297791257450418,0.15738081199579165,0.05016305033674157
lgb,11952,9,0.5137401455722345,0.6312492986016078,0.1846051316227924,0.08425925925925926,0.33130126610074145,0.22180388219544847,0.127225046904618,0.03597473476268398,0.127225046904618,0.06367665947449419,0.16933554685030774,0.017296695222816995
lgb,11952,10,0.5419679311869312,0.6909800732960832,0.3515625,0.18808114961961117,0.3939218635543307,0.22180388219544847,0.26717374949595507,0.08056418954954458,0.26717374949595507,0.10698480581023018,0.16150320055984888,0.03878646829649115
lgb,11952,11,0.6547377396732486,0.8094409805028233,0.6072607260726072,0.4695907386270993,0.5771104451408402,0.22180388219544847,0.41791854987532495,0.23924711506501573,0.41791854987532495,0.2611078690335058,0.13362980248935935,0.10196852675519379
lgb,11952,12,0.6601777797457933,0.8158366697834722,0.6130841121495327,0.480116864145431,0.5851333572674011,0.22180388219544847,0.4047579815200335,0.24756213886542067,0.4047579815200335,0.2691839549433783,0.1321692296671644,0.1059412045398557
